,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,298,0,0,0,0,0,0,0,5,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,42,8,0,0,1,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,7,210,0,0,11,0,11,6,0,0,0,0
T-helper 22 cell,0,0,0,78,17,0,1,2,0,6,0,0,3
"central memory CD4-positive, alpha-beta T cell",0,0,0,60,244,2,9,4,0,11,0,71,16
"effector CD8-positive, alpha-beta T cell",0,0,0,1,4,87,1,30,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,0,5,70,32,0,10,0,0,3
gamma-delta T cell,0,0,1,16,4,1,1,21,0,3,0,0,0
mature NK T cell,1,0,3,0,0,1,1,1,73,0,0,1,0
mucosal invariant T cell,0,0,0,6,0,0,5,15,0,49,0,3,0
naive B cell,0,0,0,0,0,0,0,0,0,0,189,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,1,13,0,0,0,0,1,0,212,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,33,16,0,6,6,0,1,0,14,83
