cell_type,f1,precision,recall,support
naive B cell,1.0,1.0,1.0,124.8
CD14-positive monocyte,0.9907050073144312,0.9914674938312175,0.9900333424878452,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9510218279733023,0.94936654841809,0.9541051688755502,316.4
"CD16-negative, CD56-bright natural killer cell, human",0.8692185477425628,0.8847714394682358,0.854291023101897,49.4
mature NK T cell,0.8677298688501445,0.942989010989011,0.8081771955219665,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.854103609526844,0.8174093667393979,0.8984762280948694,295.8
"effector CD8-positive, alpha-beta T cell",0.8092165085601,0.7748761076578055,0.8581706070281166,131.2
"effector memory CD8-positive, alpha-beta T cell",0.7199232793325685,0.7338178195585655,0.7106165975561918,118.4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6934501748627248,0.7387457360803387,0.6695084972530668,156.2
mucosal invariant T cell,0.6765001728438399,0.6803446135888521,0.673354490337249,69.2
"central memory CD4-positive, alpha-beta T cell",0.6727821372730453,0.6853155156447627,0.6830415045358709,223.0
T-helper 22 cell,0.6604830513805796,0.6506027197820062,0.6988947561225729,133.8
gamma-delta T cell,0.4017736732642989,0.5065920630470673,0.3777535915379273,82.8
