cell_type,f1,precision,recall,support
naive B cell,0.9952295860920228,0.9915709954262809,0.9989417989417989,124.0
CD14-positive monocyte,0.9809408539427796,0.979936464885595,0.982118666402614,231.8
mature NK T cell,0.842468921662223,0.9393052635424388,0.7682924583172127,90.0
"CD16-positive, CD56-dim natural killer cell, human",0.689193468049069,0.5966069466143054,0.8340499609890545,320.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.49674895345334436,0.41717803618288907,0.62878176379635,295.4
"central memory CD4-positive, alpha-beta T cell",0.45053714597805017,0.37033973650465446,0.5947066231455047,223.4
"effector CD8-positive, alpha-beta T cell",0.3121855578236713,0.3564384547100528,0.29373988180632776,131.8
T-helper 22 cell,0.18653644290328847,0.2604622064896037,0.163725896514338,132.8
"effector memory CD8-positive, alpha-beta T cell",0.1559376079159482,0.19893087445041524,0.15459981476939955,118.0
"CD16-negative, CD56-bright natural killer cell, human",0.09594285466581622,0.47436974789915964,0.06294397111972196,49.8
"naive thymus-derived CD8-positive, alpha-beta T cell",0.04334490996671311,0.16383069828722002,0.02502049781571978,154.8
mucosal invariant T cell,0.02957979851537646,0.08917748917748917,0.018576480990274095,68.8
gamma-delta T cell,0.028592251059715922,0.07526683842473317,0.01904838171504838,81.0
