cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9895615866388309,0.9875,0.9916317991631799,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8623853211009175,0.9215686274509803,0.8103448275862069,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9569569569569569,0.9484126984126984,0.9656565656565657,495.0,1
T-helper 22 cell,0.562874251497006,0.46534653465346537,0.7121212121212122,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6459143968871596,0.6194029850746269,0.6747967479674797,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7507507507507507,0.702247191011236,0.8064516129032258,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.75,0.8129032258064516,0.6961325966850829,181.0,1
gamma-delta T cell,0.35526315789473684,0.38028169014084506,0.3333333333333333,81.0,1
mature NK T cell,0.8296943231441049,0.8796296296296297,0.7851239669421488,121.0,1
mucosal invariant T cell,0.6615384615384615,0.7166666666666667,0.6142857142857143,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.836,0.81640625,0.8565573770491803,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.726643598615917,0.7954545454545454,0.6687898089171974,157.0,1
CD14-positive monocyte,0.988391376451078,0.9933333333333333,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8823529411764706,0.9,0.8653846153846154,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8796498905908097,0.9481132075471698,0.8204081632653061,245.0,2
T-helper 22 cell,0.48231511254019294,0.36764705882352944,0.7009345794392523,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6578171091445427,0.8544061302681992,0.5347721822541966,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7142857142857143,0.6369426751592356,0.8130081300813008,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.56,0.6,0.525,120.0,2
gamma-delta T cell,0.15384615384615385,0.12048192771084337,0.2127659574468085,47.0,2
mature NK T cell,0.8902439024390244,0.8795180722891566,0.9012345679012346,81.0,2
mucosal invariant T cell,0.45925925925925926,0.543859649122807,0.3974358974358974,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7559633027522936,0.653968253968254,0.8956521739130435,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6190476190476191,0.674074074074074,0.5723270440251572,159.0,2
CD14-positive monocyte,0.9875930521091811,0.9754901960784313,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9056603773584906,0.935064935064935,0.8780487804878049,82.0,3
