analysis,repeat,representation,rep_key,train_group,test_group,direction,n_donors_per_group,sampled_group_a_donors,sampled_group_b_donors,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes
donor_count_matched,0,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.7078354638374245,0.7803815844048113,4827,4822,13
donor_count_matched,0,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.6513426031183485,0.6494717215661902,4822,4827,13
donor_count_matched,0,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.736630483056332,0.814184985483202,4827,4822,13
donor_count_matched,0,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.6886868361874678,0.6929770043505282,4822,4827,13
donor_count_matched,0,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.7099882735604566,0.7828701783492327,4827,4822,13
donor_count_matched,0,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.6736604897989283,0.6766107313030868,4822,4827,13
donor_count_matched,0,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.695727229929521,0.7718788884280382,4827,4822,13
donor_count_matched,0,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919333;newcastle65;newcastle74,0.6499611076706067,0.6436710171949451,4822,4827,13
donor_count_matched,1,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7075202525879658,0.7805688187668673,4827,4817,13
donor_count_matched,1,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6576393300055627,0.6627304744147504,4817,4827,13
donor_count_matched,1,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7397010952664576,0.8200124558854058,4827,4817,13
donor_count_matched,1,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.694196196641947,0.7000207168013258,4817,4827,13
donor_count_matched,1,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7127982545161211,0.7867967614697945,4827,4817,13
donor_count_matched,1,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6797930066829612,0.6838616117671431,4817,4827,13
donor_count_matched,1,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6972575389712461,0.7733028856134524,4827,4817,13
donor_count_matched,1,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6550802386880458,0.6474000414336026,4817,4827,13
donor_count_matched,2,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7112095300075806,0.7847682119205298,4827,4832,13
donor_count_matched,2,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6507278617976117,0.6503003936192252,4832,4827,13
donor_count_matched,2,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7410607115221245,0.8205711920529801,4827,4832,13
donor_count_matched,2,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6931887017789727,0.6960845245494096,4832,4827,13
donor_count_matched,2,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7152060178025521,0.789114238410596,4827,4832,13
donor_count_matched,2,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6811123326120853,0.6817899316345556,4832,4827,13
donor_count_matched,2,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.697840135031771,0.7737996688741722,4827,4832,13
donor_count_matched,2,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6521037118776032,0.6474000414336026,4832,4827,13
donor_count_matched,3,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7036023788897138,0.778351580252014,4827,4841,13
donor_count_matched,3,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6393826412976538,0.6219183758027761,4841,4827,13
donor_count_matched,3,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7409739918512435,0.8198719272877505,4827,4841,13
donor_count_matched,3,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6879494141026021,0.692355500310752,4841,4827,13
donor_count_matched,3,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7111543332115335,0.7845486469737657,4827,4841,13
donor_count_matched,3,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6762393447497032,0.677232235342863,4841,4827,13
donor_count_matched,3,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6978123166005614,0.7717413757488122,4827,4841,13
donor_count_matched,3,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6526217003443195,0.6465713693805677,4841,4827,13
donor_count_matched,4,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.7079730451945992,0.7872384078785392,4827,4874,13
donor_count_matched,4,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6405651154590737,0.6335197845452663,4874,4827,13
donor_count_matched,4,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.735517273535896,0.8235535494460402,4827,4874,13
donor_count_matched,4,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6690735400677139,0.6674953387197017,4874,4827,13
donor_count_matched,4,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.7086300296275441,0.7878539187525646,4827,4874,13
donor_count_matched,4,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6687539142298521,0.6685311787859954,4874,4827,13
donor_count_matched,4,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6889637106301283,0.772055806319245,4827,4874,13
donor_count_matched,4,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919332;MH8919333;newcastle65;newcastle74,0.6511910429823397,0.6455355293142738,4874,4827,13
donor_count_matched,5,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.7112095300075806,0.7847682119205298,4827,4832,13
donor_count_matched,5,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65,0.6507278617976117,0.6503003936192252,4832,4827,13
