analysis,repeat,representation,rep_key,train_group,test_group,direction,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes
support_matched,0,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7163638056883074,0.8022727272727272,3716,5280,13
support_matched,0,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6526225261828906,0.6467785373938264,3716,4827,13
support_matched,0,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7309684223693294,0.8229166666666666,3716,5280,13
support_matched,0,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.694888621543198,0.6993992127615496,3716,4827,13
support_matched,0,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7344677145653308,0.8195075757575757,3716,5280,13
support_matched,0,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6845115529707536,0.6867619639527657,3716,4827,13
support_matched,0,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7107835229971643,0.8109848484848485,3716,5280,13
support_matched,0,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6598820721500314,0.651336233685519,3716,4827,13
support_matched,1,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7149708906549753,0.8028409090909091,3716,5280,13
support_matched,1,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6654382305796072,0.6691526828257717,3716,4827,13
support_matched,1,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7316899253516715,0.8299242424242425,3716,5280,13
support_matched,1,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6956088480270229,0.6987777087217734,3716,4827,13
support_matched,1,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7382298898563876,0.8206439393939394,3716,5280,13
support_matched,1,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6814692349309571,0.6834472757406257,3716,4827,13
support_matched,1,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7113651375111646,0.8104166666666667,3716,5280,13
support_matched,1,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.658960677720732,0.649678889579449,3716,4827,13
support_matched,2,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7189428134773141,0.8054924242424243,3716,5280,13
support_matched,2,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6691919544954309,0.6681168427594779,3716,4827,13
support_matched,2,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7329313211031542,0.8259469696969697,3716,5280,13
support_matched,2,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6958107071377354,0.7045784130930184,3716,4827,13
support_matched,2,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7335777857038708,0.8202651515151516,3716,5280,13
support_matched,2,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6786979234435386,0.6826186036875906,3716,4827,13
support_matched,2,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7113370557530441,0.812689393939394,3716,5280,13
support_matched,2,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6615655371053133,0.652164905738554,3716,4827,13
support_matched,3,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.717641267233851,0.8047348484848484,3716,5280,13
support_matched,3,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.631288286681582,0.616117671431531,3716,4827,13
support_matched,3,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7199883851603837,0.8225378787878788,3716,5280,13
support_matched,3,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6923205555502151,0.694841516469857,3716,4827,13
support_matched,3,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7249381164260499,0.818939393939394,3716,5280,13
support_matched,3,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6835773178527673,0.6851046198466957,3716,4827,13
support_matched,3,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7025050665496179,0.8073863636363636,3716,5280,13
support_matched,3,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6606923195614847,0.652164905738554,3716,4827,13
support_matched,4,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.707659594241947,0.7964015151515151,3716,5280,13
support_matched,4,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.658440885606348,0.6610731303086803,3716,4827,13
support_matched,4,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7228134053485302,0.8232954545454545,3716,5280,13
support_matched,4,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6782807132013311,0.6880049720323183,3716,4827,13
support_matched,4,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7372046170999925,0.821590909090909,3716,5280,13
support_matched,4,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6841601742686085,0.6859332918997307,3716,4827,13
support_matched,4,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7065543423178714,0.809469696969697,3716,5280,13
support_matched,4,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6608289494373649,0.6525792417650714,3716,4827,13
support_matched,5,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7151394397122508,0.7996212121212121,3716,5280,13
support_matched,5,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6364128415119038,0.6215040397762586,3716,4827,13
support_matched,5,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7248092378146205,0.8238636363636364,3716,5280,13
support_matched,5,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.7031278826586972,0.7070644292521234,3716,4827,13
support_matched,5,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7363289524314311,0.8200757575757576,3716,5280,13
support_matched,5,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6815558985813965,0.6853117878599544,3716,4827,13
support_matched,5,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7089238162633424,0.8102272727272727,3716,5280,13
support_matched,5,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6611894683614035,0.6519577377252952,3716,4827,13
support_matched,6,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7070347786736508,0.8007575757575758,3716,5280,13
support_matched,6,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6485897394222065,0.6556867619639528,3716,4827,13
support_matched,6,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7243473719158945,0.8242424242424242,3716,5280,13
support_matched,6,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6912521014285726,0.6942200124300808,3716,4827,13
support_matched,6,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7334576896638757,0.8191287878787878,3716,5280,13
support_matched,6,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6799147965606386,0.6846902838201782,3716,4827,13
support_matched,6,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7067406176139652,0.8087121212121212,3716,5280,13
support_matched,6,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6597061876887651,0.6517505697120365,3716,4827,13
support_matched,7,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7190065785940738,0.8107954545454545,3716,5280,13
support_matched,7,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6634099033446539,0.6645949865340791,3716,4827,13
support_matched,7,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7232374626382044,0.825189393939394,3716,5280,13
support_matched,7,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.7024463171780729,0.7049927491195359,3716,4827,13
support_matched,7,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.732886620157582,0.8198863636363637,3716,5280,13
support_matched,7,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6828580001581456,0.6863476279262481,3716,4827,13
support_matched,7,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7048354676182357,0.809469696969697,3716,5280,13
support_matched,7,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6527817754515092,0.6480215454733789,3716,4827,13
support_matched,8,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.713384389564809,0.8017045454545455,3716,5280,13
support_matched,8,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6432515995254836,0.6270975761342449,3716,4827,13
support_matched,8,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.723331375733242,0.818939393939394,3716,5280,13
support_matched,8,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6914218901126574,0.6987777087217734,3716,4827,13
support_matched,8,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7348675887425344,0.8204545454545454,3716,5280,13
support_matched,8,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6765722466568882,0.6815827636212969,3716,4827,13
support_matched,8,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7099918716207116,0.8106060606060606,3716,5280,13
support_matched,8,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6593362493112814,0.6507147296457427,3716,4827,13
support_matched,9,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.7316596342107106,0.8168560606060606,3716,5280,13
support_matched,9,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6616026007898308,0.6600372902423866,3716,4827,13
support_matched,9,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7273540305685061,0.828030303030303,3716,5280,13
support_matched,9,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6963812642402741,0.7004350528278434,3716,4827,13
support_matched,9,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7400980320742799,0.821590909090909,3716,5280,13
support_matched,9,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6827328106194179,0.6848974518334369,3716,4827,13
support_matched,9,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,0.7036057857197557,0.8089015151515152,3716,5280,13
support_matched,9,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,0.6566025582744024,0.6492645535529314,3716,4827,13
