cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9919103920348475,0.9876084262701363,0.99625,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.872852233676976,0.9338235294117647,0.8193548387096774,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9100467289719626,0.9037122969837587,0.9164705882352941,850.0
T-helper 22 cell,0.6071428571428571,0.6270491803278688,0.5884615384615385,260.0
"central memory CD4-positive, alpha-beta T cell",0.23709369024856597,0.1546134663341646,0.5081967213114754,122.0
"effector CD8-positive, alpha-beta T cell",0.7585513078470825,0.6792792792792792,0.8587699316628702,439.0
"effector memory CD8-positive, alpha-beta T cell",0.6848920863309352,0.7020648967551623,0.6685393258426966,356.0
gamma-delta T cell,0.2235294117647059,0.5205479452054794,0.14232209737827714,267.0
mature NK T cell,0.882962962962963,0.9867549668874173,0.7989276139410187,373.0
mucosal invariant T cell,0.5979381443298969,0.5829145728643216,0.6137566137566137,189.0
naive B cell,0.9982046678635548,0.996415770609319,1.0,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8057825267127593,0.8228498074454429,0.7894088669950738,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.705710102489019,0.7927631578947368,0.6358839050131926,379.0
