,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,732,0,0,0,0,0,0,0,19,0,0,49,0
"CD16-negative, CD56-bright natural killer cell, human",0,124,29,1,0,0,0,0,1,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,7,799,0,0,38,1,0,4,1,0,0,0
T-helper 22 cell,0,0,0,187,35,0,2,1,0,5,0,25,5
"central memory CD4-positive, alpha-beta T cell",0,0,1,31,53,9,2,2,0,0,0,23,1
"effector CD8-positive, alpha-beta T cell",0,0,2,0,2,414,13,0,2,0,0,0,6
"effector memory CD8-positive, alpha-beta T cell",0,0,0,1,7,11,255,3,0,20,0,2,57
gamma-delta T cell,0,1,17,9,10,60,25,28,5,81,1,26,4
mature NK T cell,2,0,5,0,1,50,4,1,306,0,0,4,0
mucosal invariant T cell,0,0,0,14,3,6,6,1,0,139,0,17,3
naive B cell,0,0,0,0,0,0,0,0,0,0,278,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,17,39,0,0,0,0,0,0,752,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,11,19,0,2,1,0,1,0,85,260
