cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9328010645375915,0.9971550497866287,0.87625,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.8701754385964913,0.9538461538461539,0.8,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9374262101534829,0.9407582938388626,0.9341176470588235,850.0
T-helper 22 cell,0.7283018867924528,0.7148148148148148,0.7423076923076923,260.0
"central memory CD4-positive, alpha-beta T cell",0.33653846153846156,0.4069767441860465,0.28688524590163933,122.0
"effector CD8-positive, alpha-beta T cell",0.8108108108108109,0.7232142857142857,0.9225512528473804,439.0
"effector memory CD8-positive, alpha-beta T cell",0.7419354838709677,0.7760736196319018,0.7106741573033708,356.0
gamma-delta T cell,0.1414141414141414,0.7,0.07865168539325842,267.0
mature NK T cell,0.8342245989304813,0.832,0.8364611260053619,373.0
mucosal invariant T cell,0.6420323325635104,0.569672131147541,0.7354497354497355,189.0
naive B cell,1.0,1.0,1.0,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8182784272051009,0.719626168224299,0.9482758620689655,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6621803499327052,0.6758241758241759,0.6490765171503958,379.0
