cell_type,f1,precision,recall,support
CD14-positive monocyte,0.98875,0.98875,0.98875,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.8827586206896552,0.9481481481481482,0.8258064516129032,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9335684891240447,0.9330199764982373,0.9341176470588235,850.0
T-helper 22 cell,0.5902192242833052,0.5255255255255256,0.6730769230769231,260.0
"central memory CD4-positive, alpha-beta T cell",0.22179732313575526,0.14463840399002495,0.47540983606557374,122.0
"effector CD8-positive, alpha-beta T cell",0.7788844621513944,0.6920353982300885,0.8906605922551253,439.0
"effector memory CD8-positive, alpha-beta T cell",0.6925064599483204,0.6411483253588517,0.7528089887640449,356.0
gamma-delta T cell,0.10158730158730159,0.3333333333333333,0.0599250936329588,267.0
mature NK T cell,0.8649425287356322,0.9318885448916409,0.806970509383378,373.0
mucosal invariant T cell,0.6397694524495677,0.7025316455696202,0.5873015873015873,189.0
naive B cell,1.0,1.0,1.0,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7372654155495979,0.8088235294117647,0.6773399014778325,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6188340807174888,0.7137931034482758,0.5461741424802111,379.0
