cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9900142653352354,0.9971264367816092,0.9830028328611898,353.0
"CD16-negative, CD56-bright natural killer cell, human",0.8379888268156425,0.8620689655172413,0.8152173913043478,92.0
"CD16-positive, CD56-dim natural killer cell, human",0.947945205479452,0.9505494505494505,0.9453551912568307,732.0
T-helper 22 cell,0.55,0.43319268635724334,0.7530562347188264,409.0
"central memory CD4-positive, alpha-beta T cell",0.10654205607476636,0.7402597402597403,0.05740181268882175,993.0
"effector CD8-positive, alpha-beta T cell",0.76,0.7339055793991416,0.7880184331797235,217.0
"effector memory CD8-positive, alpha-beta T cell",0.611336032388664,0.5852713178294574,0.6398305084745762,236.0
gamma-delta T cell,0.22145328719723184,0.22535211267605634,0.21768707482993196,147.0
mature NK T cell,0.7883211678832117,0.8852459016393442,0.7105263157894737,76.0
mucosal invariant T cell,0.5740181268882175,0.5459770114942529,0.6050955414012739,157.0
naive B cell,1.0,1.0,1.0,346.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7111368909512761,0.5799432355723746,0.9190404797601199,667.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5580933465739821,0.4644628099173554,0.6990049751243781,402.0
