,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,323,0,0,10,3,0,0,0,16,1,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,80,6,0,1,0,0,2,0,3,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,16,683,3,5,2,2,11,2,5,0,2,1
T-helper 22 cell,0,0,0,272,36,0,6,8,0,55,0,28,4
"central memory CD4-positive, alpha-beta T cell",0,0,0,205,225,2,7,25,0,81,0,392,56
"effector CD8-positive, alpha-beta T cell",0,0,3,16,3,166,7,6,3,9,0,3,1
"effector memory CD8-positive, alpha-beta T cell",0,2,0,22,2,22,123,5,2,49,0,2,7
gamma-delta T cell,0,0,0,63,3,3,8,34,0,28,0,5,3
mature NK T cell,2,1,2,2,0,7,2,1,55,2,0,2,0
mucosal invariant T cell,0,0,0,12,3,0,11,5,0,115,0,10,1
naive B cell,0,0,0,3,3,0,0,0,0,2,329,9,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,43,22,0,1,7,0,9,0,568,17
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,54,12,0,24,4,0,21,0,26,261
