cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9680232558139535,0.9940298507462687,0.943342776203966,353.0
"CD16-negative, CD56-bright natural killer cell, human",0.850828729281768,0.8651685393258427,0.8369565217391305,92.0
"CD16-positive, CD56-dim natural killer cell, human",0.9554317548746518,0.9744318181818182,0.9371584699453552,732.0
T-helper 22 cell,0.478900883218842,0.4,0.5965770171149144,409.0
"central memory CD4-positive, alpha-beta T cell",0.317092034029389,0.6833333333333333,0.20644511581067473,993.0
"effector CD8-positive, alpha-beta T cell",0.7536231884057971,0.7918781725888325,0.7188940092165899,217.0
"effector memory CD8-positive, alpha-beta T cell",0.5024390243902439,0.5919540229885057,0.4364406779661017,236.0
gamma-delta T cell,0.25735294117647056,0.28,0.23809523809523808,147.0
mature NK T cell,0.7651006711409396,0.7808219178082192,0.75,76.0
mucosal invariant T cell,0.3076923076923077,0.19430485762144054,0.7388535031847133,157.0
naive B cell,0.9763313609467456,1.0,0.953757225433526,346.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.6957605985037406,0.5955176093916755,0.8365817091454273,667.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7044854881266491,0.75,0.664179104477612,402.0
