cell_type,f1,precision,recall,support
CD14-positive monocyte,0.976878612716763,0.9970501474926253,0.9575070821529745,353.0
"CD16-negative, CD56-bright natural killer cell, human",0.8524590163934426,0.8571428571428571,0.8478260869565217,92.0
"CD16-positive, CD56-dim natural killer cell, human",0.9691991786447639,0.9711934156378601,0.9672131147540983,732.0
T-helper 22 cell,0.4961990324809952,0.34585741811175336,0.8777506112469438,409.0
"central memory CD4-positive, alpha-beta T cell",0.15482695810564662,0.8095238095238095,0.08559919436052367,993.0
"effector CD8-positive, alpha-beta T cell",0.75,0.84,0.6774193548387096,217.0
"effector memory CD8-positive, alpha-beta T cell",0.6203473945409429,0.7485029940119761,0.5296610169491526,236.0
gamma-delta T cell,0.2717391304347826,0.22624434389140272,0.3401360544217687,147.0
mature NK T cell,0.7552447552447552,0.8059701492537313,0.7105263157894737,76.0
mucosal invariant T cell,0.6019417475728155,0.48627450980392156,0.7898089171974523,157.0
naive B cell,1.0,1.0,1.0,346.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7501589319771138,0.6512141280353201,0.8845577211394303,667.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5848101265822785,0.595360824742268,0.5746268656716418,402.0
