cell_type,f1,precision,recall,support
CD14-positive monocyte,0.8893470790378006,0.9877862595419847,0.80875,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.9059233449477352,0.9848484848484849,0.8387096774193549,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.9433526011560693,0.9272727272727272,0.96,850.0
T-helper 22 cell,0.5873015873015873,0.6065573770491803,0.5692307692307692,260.0
"central memory CD4-positive, alpha-beta T cell",0.2937062937062937,0.25609756097560976,0.3442622950819672,122.0
"effector CD8-positive, alpha-beta T cell",0.7842741935483871,0.7034358047016275,0.8861047835990888,439.0
"effector memory CD8-positive, alpha-beta T cell",0.6040955631399317,0.7695652173913043,0.49719101123595505,356.0
gamma-delta T cell,0.26627218934911245,0.6338028169014085,0.16853932584269662,267.0
mature NK T cell,0.8291233283803864,0.93,0.7479892761394102,373.0
mucosal invariant T cell,0.5418502202643172,0.4641509433962264,0.6507936507936508,189.0
naive B cell,0.9909255898366606,1.0,0.9820143884892086,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7533016376122557,0.6595744680851063,0.8780788177339901,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7373612823674476,0.6921296296296297,0.7889182058047494,379.0
