cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9681933842239187,0.9857512953367875,0.95125,800.0
"CD16-negative, CD56-bright natural killer cell, human",0.2289156626506024,0.21468926553672316,0.24516129032258063,155.0
"CD16-positive, CD56-dim natural killer cell, human",0.5539267015706807,0.4990566037735849,0.6223529411764706,850.0
T-helper 22 cell,0.0,0.0,0.0,260.0
"central memory CD4-positive, alpha-beta T cell",0.08774193548387098,0.05206738131699847,0.2786885245901639,122.0
"effector CD8-positive, alpha-beta T cell",0.05752961082910322,0.1118421052631579,0.0387243735763098,439.0
"effector memory CD8-positive, alpha-beta T cell",0.014814814814814812,0.061224489795918366,0.008426966292134831,356.0
gamma-delta T cell,0.007462686567164179,1.0,0.003745318352059925,267.0
mature NK T cell,0.8081081081081081,0.8147138964577657,0.8016085790884718,373.0
mucosal invariant T cell,0.0411522633744856,0.03367003367003367,0.05291005291005291,189.0
naive B cell,0.25705329153605017,1.0,0.1474820143884892,278.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.4274930472785062,0.3155425219941349,0.6625615763546798,812.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.0052493438320209964,0.5,0.002638522427440633,379.0
