cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9528023598820059,0.9938461538461538,0.9150141643059491,353.0
"CD16-negative, CD56-bright natural killer cell, human",0.837696335078534,0.8080808080808081,0.8695652173913043,92.0
"CD16-positive, CD56-dim natural killer cell, human",0.9579242636746143,0.984149855907781,0.9330601092896175,732.0
T-helper 22 cell,0.4883303411131059,0.38581560283687943,0.6650366748166259,409.0
"central memory CD4-positive, alpha-beta T cell",0.34324942791762014,0.7075471698113207,0.22658610271903323,993.0
"effector CD8-positive, alpha-beta T cell",0.7923627684964201,0.8217821782178217,0.7649769585253456,217.0
"effector memory CD8-positive, alpha-beta T cell",0.5761124121779859,0.643979057591623,0.5211864406779662,236.0
gamma-delta T cell,0.26666666666666666,0.3148148148148148,0.23129251700680273,147.0
mature NK T cell,0.7142857142857143,0.7051282051282052,0.7236842105263158,76.0
mucosal invariant T cell,0.42830540037243947,0.3026315789473684,0.732484076433121,157.0
naive B cell,0.9748148148148148,1.0,0.9508670520231214,346.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.662777129521587,0.542502387774594,0.8515742128935532,667.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6932270916334662,0.7435897435897436,0.6492537313432836,402.0
