cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9740259740259739,0.9782608695652174,0.9698275862068966,232.0
"CD16-negative, CD56-bright natural killer cell, human",0.03508771929824562,0.14285714285714285,0.02,50.0
"CD16-positive, CD56-dim natural killer cell, human",0.6837146702557201,0.6004728132387707,0.79375,320.0
T-helper 22 cell,0.23636363636363636,0.2988505747126437,0.19548872180451127,133.0
"central memory CD4-positive, alpha-beta T cell",0.47602739726027404,0.3850415512465374,0.6233183856502242,223.0
"effector CD8-positive, alpha-beta T cell",0.3333333333333333,0.37037037037037035,0.30303030303030304,132.0
"effector memory CD8-positive, alpha-beta T cell",0.2719298245614035,0.2818181818181818,0.2627118644067797,118.0
gamma-delta T cell,0.0851063829787234,0.3076923076923077,0.04938271604938271,81.0
mature NK T cell,0.7975460122699386,0.8904109589041096,0.7222222222222222,90.0
mucosal invariant T cell,0.04761904761904762,0.13333333333333333,0.028985507246376812,69.0
naive B cell,1.0,1.0,1.0,124.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.5027173913043479,0.41950113378684806,0.6271186440677966,295.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.1081081081081081,0.3333333333333333,0.06451612903225806,155.0
