cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9052631578947369,0.9347826086956522,0.8775510204081632,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9544740973312401,0.95,0.9589905362776026,317.0
T-helper 22 cell,0.6115107913669064,0.5902777777777778,0.6343283582089553,134.0
"central memory CD4-positive, alpha-beta T cell",0.6457023060796646,0.6062992125984252,0.6905829596412556,223.0
"effector CD8-positive, alpha-beta T cell",0.8013468013468014,0.7168674698795181,0.9083969465648855,131.0
"effector memory CD8-positive, alpha-beta T cell",0.6808510638297872,0.6837606837606838,0.6779661016949152,118.0
gamma-delta T cell,0.38888888888888884,0.45901639344262296,0.3373493975903614,83.0
mature NK T cell,0.8098159509202454,0.9041095890410958,0.7333333333333333,90.0
mucosal invariant T cell,0.6093750000000001,0.6610169491525424,0.5652173913043478,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.793969849246231,0.7873754152823921,0.8006756756756757,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6548042704626336,0.736,0.5897435897435898,156.0
