cell_type,f1,precision,recall,support
CD14-positive monocyte,0.991304347826087,0.9956331877729258,0.987012987012987,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9166666666666666,0.9361702127659575,0.8979591836734694,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9669291338582677,0.9654088050314465,0.9684542586750788,317.0
T-helper 22 cell,0.7259786476868327,0.6938775510204082,0.7611940298507462,134.0
"central memory CD4-positive, alpha-beta T cell",0.6820276497695853,0.7014218009478673,0.6636771300448431,223.0
"effector CD8-positive, alpha-beta T cell",0.8661971830985915,0.803921568627451,0.9389312977099237,131.0
"effector memory CD8-positive, alpha-beta T cell",0.7685589519650655,0.7927927927927928,0.7457627118644068,118.0
gamma-delta T cell,0.5333333333333333,0.5970149253731343,0.4819277108433735,83.0
mature NK T cell,0.8588957055214724,0.958904109589041,0.7777777777777778,90.0
mucosal invariant T cell,0.7338129496402878,0.7285714285714285,0.7391304347826086,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8770226537216829,0.8416149068322981,0.9155405405405406,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7934426229508197,0.8120805369127517,0.7756410256410257,156.0
