cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9935205183585313,0.9913793103448276,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.8913043478260869,0.9534883720930233,0.8367346938775511,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9517884914463453,0.9386503067484663,0.9652996845425867,317.0
T-helper 22 cell,0.6153846153846154,0.6349206349206349,0.5970149253731343,134.0
"central memory CD4-positive, alpha-beta T cell",0.6511627906976745,0.616,0.6905829596412556,223.0
"effector CD8-positive, alpha-beta T cell",0.8191126279863481,0.7407407407407407,0.916030534351145,131.0
"effector memory CD8-positive, alpha-beta T cell",0.6814159292035398,0.7129629629629629,0.652542372881356,118.0
gamma-delta T cell,0.3888888888888889,0.45901639344262296,0.3373493975903614,83.0
mature NK T cell,0.8363636363636363,0.92,0.7666666666666667,90.0
mucosal invariant T cell,0.6814814814814815,0.696969696969697,0.6666666666666666,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8116883116883117,0.78125,0.8445945945945946,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7394366197183099,0.8203125,0.6730769230769231,156.0
