cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9934924078091107,0.9956521739130435,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.875,0.8936170212765957,0.8571428571428571,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.957345971563981,0.9588607594936709,0.9558359621451105,317.0
T-helper 22 cell,0.610909090909091,0.5957446808510638,0.6268656716417911,134.0
"central memory CD4-positive, alpha-beta T cell",0.6545454545454545,0.663594470046083,0.6457399103139013,223.0
"effector CD8-positive, alpha-beta T cell",0.8283582089552239,0.8102189781021898,0.8473282442748091,131.0
"effector memory CD8-positive, alpha-beta T cell",0.680672268907563,0.675,0.6864406779661016,118.0
gamma-delta T cell,0.5325443786982248,0.5232558139534884,0.5421686746987951,83.0
mature NK T cell,0.8588235294117648,0.9125,0.8111111111111111,90.0
mucosal invariant T cell,0.6119402985074627,0.6307692307692307,0.5942028985507246,69.0
naive B cell,0.9959839357429718,1.0,0.992,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8223350253807107,0.823728813559322,0.8209459459459459,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8125000000000001,0.7926829268292683,0.8333333333333334,156.0
