cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9978401727861771,0.9956896551724138,1.0,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.8260869565217391,0.8837209302325582,0.7755102040816326,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.925984251968504,0.9245283018867925,0.9274447949526814,317.0
T-helper 22 cell,0.6501766784452296,0.6174496644295302,0.6865671641791045,134.0
"central memory CD4-positive, alpha-beta T cell",0.6222222222222222,0.6167400881057269,0.6278026905829597,223.0
"effector CD8-positive, alpha-beta T cell",0.7622377622377622,0.7032258064516129,0.8320610687022901,131.0
"effector memory CD8-positive, alpha-beta T cell",0.702928870292887,0.6942148760330579,0.711864406779661,118.0
gamma-delta T cell,0.29850746268656714,0.39215686274509803,0.24096385542168675,83.0
mature NK T cell,0.9156626506024096,1.0,0.8444444444444444,90.0
mucosal invariant T cell,0.723404255319149,0.7083333333333334,0.7391304347826086,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8422764227642277,0.8119122257053292,0.875,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7310344827586207,0.7910447761194029,0.6794871794871795,156.0
