,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,231,0,0,0,0,0,0,0,0,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,40,7,1,0,0,0,1,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,304,0,0,4,0,3,2,0,0,0,0
T-helper 22 cell,0,0,0,98,22,0,3,0,0,3,0,4,4
"central memory CD4-positive, alpha-beta T cell",0,0,1,20,153,3,3,3,0,4,0,22,14
"effector CD8-positive, alpha-beta T cell",0,0,2,1,0,122,3,2,1,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,10,88,6,1,3,0,0,9
gamma-delta T cell,0,0,4,14,9,2,14,32,0,4,0,4,0
mature NK T cell,1,0,0,0,0,11,1,1,76,0,0,0,0
mucosal invariant T cell,0,0,0,5,0,1,7,3,0,51,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,4,19,0,0,0,0,3,0,264,6
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,7,15,0,6,1,0,1,0,22,104
