cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9874999999999999,0.983402489626556,0.9916317991631799,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8547008547008546,0.847457627118644,0.8620689655172413,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9415322580645162,0.9396378269617707,0.9434343434343434,495.0,1
T-helper 22 cell,0.595505617977528,0.4732142857142857,0.803030303030303,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6009389671361504,0.7111111111111111,0.5203252032520326,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7601246105919003,0.7349397590361446,0.7870967741935484,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7355623100303951,0.8175675675675675,0.6685082872928176,181.0,1
gamma-delta T cell,0.37974683544303794,0.38961038961038963,0.37037037037037035,81.0,1
mature NK T cell,0.8623853211009175,0.9690721649484536,0.7768595041322314,121.0,1
mucosal invariant T cell,0.6308724832214765,0.5949367088607594,0.6714285714285714,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8106060606060606,0.7535211267605634,0.8770491803278688,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7407407407407407,0.7857142857142857,0.7006369426751592,157.0,1
CD14-positive monocyte,0.9933774834437086,0.9966777408637874,0.9900990099009901,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8400000000000001,0.875,0.8076923076923077,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.7704280155642024,0.7360594795539034,0.8081632653061225,245.0,2
T-helper 22 cell,0.4666666666666667,0.3626943005181347,0.6542056074766355,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6666666666666666,0.7293447293447294,0.6139088729016786,417.0,2
"effector CD8-positive, alpha-beta T cell",0.5064377682403433,0.5363636363636364,0.4796747967479675,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6132075471698113,0.7065217391304348,0.5416666666666666,120.0,2
gamma-delta T cell,0.15,0.1232876712328767,0.19148936170212766,47.0,2
mature NK T cell,0.9056603773584906,0.9230769230769231,0.8888888888888888,81.0,2
mucosal invariant T cell,0.5915492957746479,0.65625,0.5384615384615384,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7834645669291338,0.7158273381294964,0.8652173913043478,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5757575757575758,0.7238095238095238,0.4779874213836478,159.0,2
CD14-positive monocyte,0.9879518072289156,0.9761904761904762,1.0,205.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.8834355828220858,0.9113924050632911,0.8571428571428571,84.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9504950495049506,0.927536231884058,0.9746192893401016,394.0,3
