,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,237,0,0,0,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,50,5,1,0,0,0,2,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,9,467,0,0,14,0,5,0,0,0,0,0
T-helper 22 cell,0,0,0,53,3,0,0,0,0,3,0,5,2
"central memory CD4-positive, alpha-beta T cell",0,0,2,24,64,1,3,1,0,0,0,22,6
"effector CD8-positive, alpha-beta T cell",0,0,12,0,2,122,11,8,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,2,0,5,121,20,1,19,0,0,13
gamma-delta T cell,0,0,7,6,5,10,5,30,0,8,0,9,1
mature NK T cell,3,0,4,1,0,14,1,1,94,1,0,2,0
mucosal invariant T cell,0,0,0,4,0,0,7,7,0,47,0,4,1
naive B cell,0,0,0,0,0,0,0,0,0,0,164,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",1,0,0,13,7,0,0,1,0,1,0,214,7
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,8,9,0,0,2,0,0,0,28,110
