cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9933774834437086,0.9966777408637874,0.9900990099009901,303.0
"CD16-negative, CD56-bright natural killer cell, human",0.8400000000000001,0.875,0.8076923076923077,52.0
"CD16-positive, CD56-dim natural killer cell, human",0.7704280155642024,0.7360594795539034,0.8081632653061225,245.0
T-helper 22 cell,0.4666666666666667,0.3626943005181347,0.6542056074766355,107.0
"central memory CD4-positive, alpha-beta T cell",0.6666666666666666,0.7293447293447294,0.6139088729016786,417.0
"effector CD8-positive, alpha-beta T cell",0.5064377682403433,0.5363636363636364,0.4796747967479675,123.0
"effector memory CD8-positive, alpha-beta T cell",0.6132075471698113,0.7065217391304348,0.5416666666666666,120.0
gamma-delta T cell,0.15,0.1232876712328767,0.19148936170212766,47.0
mature NK T cell,0.9056603773584906,0.9230769230769231,0.8888888888888888,81.0
mucosal invariant T cell,0.5915492957746479,0.65625,0.5384615384615384,78.0
naive B cell,1.0,1.0,1.0,189.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7834645669291338,0.7158273381294964,0.8652173913043478,230.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5757575757575758,0.7238095238095238,0.4779874213836478,159.0
