cell_type,f1,precision,recall,support
naive B cell,0.9988950276243094,0.9978021978021978,1.0,124.8
CD14-positive monocyte,0.9892673269235412,0.9890263567044283,0.9896043397867171,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9058620006610927,0.88926078691527,0.9241416588467357,316.4
mature NK T cell,0.8626149686790419,0.9552002164502165,0.7912249616036992,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8511872935832804,0.874756289152774,0.8317684822480123,49.4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8448169963736278,0.8108160482092617,0.8849400685759793,295.8
"effector CD8-positive, alpha-beta T cell",0.6845202483532964,0.6442952487470974,0.7574287657856336,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6834960996770572,0.7257995366883793,0.649135079146786,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6695976626347039,0.6805886366630476,0.678410625506883,118.4
"central memory CD4-positive, alpha-beta T cell",0.6570354494460009,0.6634146497275933,0.6752026583709052,223.0
mucosal invariant T cell,0.6294406701375342,0.653969536185359,0.6115444612858406,69.2
T-helper 22 cell,0.6125560536407434,0.6017323521470869,0.6710939748890695,133.8
gamma-delta T cell,0.29300992373859175,0.4033862812486816,0.25936741842514843,82.8
