cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.989517819706499,0.9915966386554622,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.9298245614035088,0.9464285714285714,0.9137931034482759,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9618949536560247,0.9810924369747899,0.9434343434343434,495.0,1
T-helper 22 cell,0.5146198830409356,0.41904761904761906,0.6666666666666666,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.5702127659574469,0.5982142857142857,0.5447154471544715,123.0,1
"effector CD8-positive, alpha-beta T cell",0.743421052631579,0.7583892617449665,0.7290322580645161,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7170868347338936,0.7272727272727273,0.7071823204419889,181.0,1
gamma-delta T cell,0.5061728395061729,0.5061728395061729,0.5061728395061729,81.0,1
mature NK T cell,0.8425531914893617,0.868421052631579,0.8181818181818182,121.0,1
mucosal invariant T cell,0.5652173913043478,0.5735294117647058,0.5571428571428572,70.0,1
naive B cell,0.9876543209876543,1.0,0.975609756097561,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7920792079207921,0.7662835249042146,0.819672131147541,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8253968253968254,0.8227848101265823,0.8280254777070064,157.0,1
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.865979381443299,0.9333333333333333,0.8076923076923077,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8969957081545065,0.9457013574660633,0.8530612244897959,245.0,2
T-helper 22 cell,0.5019607843137255,0.43243243243243246,0.5981308411214953,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.7300771208226221,0.7867036011080333,0.6810551558752997,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7639484978540773,0.8090909090909091,0.7235772357723578,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6454545454545455,0.71,0.5916666666666667,120.0,2
gamma-delta T cell,0.2962962962962963,0.20869565217391303,0.5106382978723404,47.0,2
mature NK T cell,0.906832298136646,0.9125,0.9012345679012346,81.0,2
mucosal invariant T cell,0.5441176470588235,0.6379310344827587,0.47435897435897434,78.0,2
naive B cell,0.9865951742627346,1.0,0.9735449735449735,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7766179540709812,0.7469879518072289,0.808695652173913,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7705882352941177,0.7237569060773481,0.8238993710691824,159.0,2
CD14-positive monocyte,0.9874055415617129,0.98989898989899,0.9849246231155779,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.8641975308641975,0.875,0.8536585365853658,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9489247311827957,0.9592391304347826,0.9388297872340425,376.0,3
T-helper 22 cell,0.5639097744360902,0.528169014084507,0.6048387096774194,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.5662650602409639,0.562874251497006,0.5696969696969697,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8658823529411764,0.8518518518518519,0.8803827751196173,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7211538461538461,0.7211538461538461,0.7211538461538461,104.0,3
gamma-delta T cell,0.514018691588785,0.5238095238095238,0.5045871559633027,109.0,3
mature NK T cell,0.8108108108108109,0.8928571428571429,0.7425742574257426,101.0,3
mucosal invariant T cell,0.6257668711656442,0.6144578313253012,0.6375,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8264669163545568,0.8233830845771144,0.8295739348370927,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7558528428093646,0.7583892617449665,0.7533333333333333,150.0,3
CD14-positive monocyte,0.9872611464968153,0.9935897435897436,0.9810126582278481,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8695652173913043,0.9090909090909091,0.8333333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9683426443202979,0.9523809523809523,0.9848484848484849,264.0,4
T-helper 22 cell,0.606516290726817,0.6173469387755102,0.5960591133004927,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.6067961165048543,0.5252100840336135,0.7183908045977011,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8608695652173913,0.8761061946902655,0.8461538461538461,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.8015267175572519,0.7894736842105263,0.813953488372093,129.0,4
gamma-delta T cell,0.373134328358209,0.4166666666666667,0.33783783783783783,74.0,4
mature NK T cell,0.8734177215189873,0.9078947368421053,0.8414634146341463,82.0,4
mucosal invariant T cell,0.5233644859813084,0.5957446808510638,0.4666666666666667,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8217317487266553,0.8373702422145328,0.8066666666666666,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7468354430379747,0.7919463087248322,0.7065868263473054,167.0,4
CD14-positive monocyte,0.9960474308300395,1.0,0.9921259842519685,254.0,5
"CD16-negative, CD56-bright natural killer cell, human",0.8421052631578947,0.9230769230769231,0.7741935483870968,31.0,5
"CD16-positive, CD56-dim natural killer cell, human",0.9498806682577565,0.9170506912442397,0.9851485148514851,202.0,5
T-helper 22 cell,0.6561514195583596,0.7027027027027027,0.6153846153846154,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.7379454926624738,0.7302904564315352,0.7457627118644068,236.0,5
"effector CD8-positive, alpha-beta T cell",0.736,0.6301369863013698,0.8846153846153846,52.0,5
"effector memory CD8-positive, alpha-beta T cell",0.576271186440678,0.5666666666666667,0.5862068965517241,58.0,5
gamma-delta T cell,0.5483870967741935,0.6144578313253012,0.49514563106796117,103.0,5
mature NK T cell,0.943089430894309,0.9830508474576272,0.90625,64.0,5
mucosal invariant T cell,0.5254237288135594,0.5166666666666667,0.5344827586206896,58.0,5
naive B cell,1.0,1.0,1.0,121.0,5
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8477905073649754,0.8491803278688524,0.8464052287581699,306.0,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8459016393442623,0.821656050955414,0.8716216216216216,148.0,5
