cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9872611464968153,0.9935897435897436,0.9810126582278481,158.0
"CD16-negative, CD56-bright natural killer cell, human",0.8695652173913043,0.9090909090909091,0.8333333333333334,24.0
"CD16-positive, CD56-dim natural killer cell, human",0.9683426443202979,0.9523809523809523,0.9848484848484849,264.0
T-helper 22 cell,0.606516290726817,0.6173469387755102,0.5960591133004927,203.0
"central memory CD4-positive, alpha-beta T cell",0.6067961165048543,0.5252100840336135,0.7183908045977011,174.0
"effector CD8-positive, alpha-beta T cell",0.8608695652173913,0.8761061946902655,0.8461538461538461,117.0
"effector memory CD8-positive, alpha-beta T cell",0.8015267175572519,0.7894736842105263,0.813953488372093,129.0
gamma-delta T cell,0.373134328358209,0.4166666666666667,0.33783783783783783,74.0
mature NK T cell,0.8734177215189873,0.9078947368421053,0.8414634146341463,82.0
mucosal invariant T cell,0.5233644859813084,0.5957446808510638,0.4666666666666667,60.0
naive B cell,1.0,1.0,1.0,60.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8217317487266553,0.8373702422145328,0.8066666666666666,300.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7468354430379747,0.7919463087248322,0.7065868263473054,167.0
