cell_type,f1,precision,recall,support
naive B cell,0.9981062946940937,1.0,0.9962307053216144,124.0
CD14-positive monocyte,0.992704030121668,0.9936550414091485,0.9917824772021747,231.8
"CD16-positive, CD56-dim natural killer cell, human",0.949897778602284,0.9509022565738595,0.9507567543245571,320.0
"CD16-negative, CD56-bright natural killer cell, human",0.888113714161277,0.9632246317556886,0.8259202329002105,49.8
mature NK T cell,0.8731531461887139,0.9399797619532635,0.8185334168606635,90.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8018357605188978,0.7850997634752533,0.8203392770465554,295.4
"effector CD8-positive, alpha-beta T cell",0.7948034492709593,0.7620985500666269,0.842230260061859,131.8
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7704435645112916,0.7701410362832598,0.7725978455620002,154.8
"effector memory CD8-positive, alpha-beta T cell",0.6838456853651055,0.6893617978009272,0.6793497955921859,118.0
"central memory CD4-positive, alpha-beta T cell",0.6025515402142656,0.6012644287642501,0.61845416458661,223.4
mucosal invariant T cell,0.5593387194694811,0.5930617427042857,0.5394341290893016,68.8
T-helper 22 cell,0.5530074999231467,0.536891820450119,0.5967137166604038,132.8
gamma-delta T cell,0.4434156551263486,0.48793206854641513,0.4242802800045794,81.0
