cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.989517819706499,0.9915966386554622,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.859504132231405,0.8253968253968254,0.896551724137931,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9612244897959183,0.9711340206185567,0.9515151515151515,495.0,1
T-helper 22 cell,0.6125,0.5212765957446809,0.7424242424242424,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6140350877192983,0.6666666666666666,0.5691056910569106,123.0,1
"effector CD8-positive, alpha-beta T cell",0.8089171974522293,0.7987421383647799,0.8193548387096774,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.8133704735376045,0.8202247191011236,0.8066298342541437,181.0,1
gamma-delta T cell,0.49056603773584906,0.5,0.48148148148148145,81.0,1
mature NK T cell,0.8636363636363636,0.9595959595959596,0.7851239669421488,121.0,1
mucosal invariant T cell,0.7482014388489209,0.7536231884057971,0.7428571428571429,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8483685220729367,0.7978339350180506,0.9057377049180327,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8013245033112583,0.8344827586206897,0.7707006369426752,157.0,1
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8514851485148515,0.8775510204081632,0.8269230769230769,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.9156118143459916,0.9475982532751092,0.8857142857142857,245.0,2
T-helper 22 cell,0.509090909090909,0.4166666666666667,0.6542056074766355,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6675824175824175,0.7813504823151125,0.5827338129496403,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7004608294930875,0.8085106382978723,0.6178861788617886,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6543778801843319,0.7319587628865979,0.5916666666666667,120.0,2
gamma-delta T cell,0.24050632911392406,0.17117117117117117,0.40425531914893614,47.0,2
mature NK T cell,0.8588235294117647,0.8202247191011236,0.9012345679012346,81.0,2
mucosal invariant T cell,0.6493506493506493,0.6578947368421053,0.6410256410256411,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7938342967244701,0.71280276816609,0.8956521739130435,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7378640776699029,0.76,0.7169811320754716,159.0,2
CD14-positive monocyte,0.9900497512437811,0.9802955665024631,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9024390243902439,0.9024390243902439,0.9024390243902439,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9696169088507266,0.963254593175853,0.976063829787234,376.0,3
T-helper 22 cell,0.7538461538461538,0.7205882352941176,0.7903225806451613,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6746268656716418,0.6647058823529411,0.6848484848484848,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8914027149321267,0.8454935622317596,0.9425837320574163,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7575757575757576,0.7978723404255319,0.7211538461538461,104.0,3
gamma-delta T cell,0.6210526315789474,0.7283950617283951,0.5412844036697247,109.0,3
mature NK T cell,0.8135593220338984,0.9473684210526315,0.7128712871287128,101.0,3
mucosal invariant T cell,0.7625,0.7625,0.7625,80.0,3
naive B cell,0.994475138121547,0.989010989010989,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8845208845208845,0.8674698795180723,0.9022556390977443,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7567567567567568,0.7671232876712328,0.7466666666666667,150.0,3
CD14-positive monocyte,0.9968454258675079,0.9937106918238994,1.0,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.7727272727272727,0.85,0.7083333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9648798521256932,0.9422382671480144,0.9886363636363636,264.0,4
T-helper 22 cell,0.6820512820512821,0.7112299465240641,0.6551724137931034,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.585480093676815,0.49407114624505927,0.7183908045977011,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8699186991869918,0.8294573643410853,0.9145299145299145,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.8106060606060606,0.7925925925925926,0.8294573643410853,129.0,4
gamma-delta T cell,0.3018867924528302,0.5,0.21621621621621623,74.0,4
