cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9875930521091811,0.9754901960784313,1.0,199.0
"CD16-negative, CD56-bright natural killer cell, human",0.9259259259259259,0.9375,0.9146341463414634,82.0
"CD16-positive, CD56-dim natural killer cell, human",0.9724047306176085,0.961038961038961,0.9840425531914894,376.0
T-helper 22 cell,0.7384615384615385,0.7058823529411765,0.7741935483870968,124.0
"central memory CD4-positive, alpha-beta T cell",0.6586102719033232,0.6566265060240963,0.6606060606060606,165.0
"effector CD8-positive, alpha-beta T cell",0.8808988764044944,0.8305084745762712,0.937799043062201,209.0
"effector memory CD8-positive, alpha-beta T cell",0.7227722772277227,0.7448979591836735,0.7019230769230769,104.0
gamma-delta T cell,0.6120218579234973,0.7567567567567568,0.5137614678899083,109.0
mature NK T cell,0.8022598870056498,0.9342105263157895,0.7029702970297029,101.0
mucosal invariant T cell,0.7870967741935484,0.8133333333333334,0.7625,80.0
naive B cell,1.0,1.0,1.0,90.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8748481166464156,0.8490566037735849,0.9022556390977443,399.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7142857142857143,0.7291666666666666,0.7,150.0
