cell_type,f1,precision,recall,support
naive B cell,0.9988950276243094,0.9978021978021978,1.0,124.8
CD14-positive monocyte,0.9928963165733821,0.9916673693498044,0.9941892097159506,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9560015527827022,0.9535774212097039,0.9593958271207059,316.4
mature NK T cell,0.8604001900483688,0.9356163913785144,0.8029404765895413,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8565414604003407,0.8836699666316392,0.834591367240788,49.4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8541487849476853,0.8267712046836193,0.8872258356119079,295.8
"effector CD8-positive, alpha-beta T cell",0.8029770975152127,0.7811160653224241,0.843486317447144,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7756014577463816,0.8070461053978111,0.747217639880125,156.2
"effector memory CD8-positive, alpha-beta T cell",0.7349171268177257,0.7531198469355955,0.720816025041769,118.4
mucosal invariant T cell,0.7004152396191683,0.7017266619726574,0.7003110395351775,69.2
"central memory CD4-positive, alpha-beta T cell",0.6642167790510309,0.6557146637368148,0.6966089790295305,223.0
T-helper 22 cell,0.6448310023310023,0.6459149056683358,0.677300708512799,133.8
gamma-delta T cell,0.44725805437884175,0.5471859738526405,0.41796787245278627,82.8
