cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9747899159663866,0.9789029535864979,0.9707112970711297,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.1797752808988764,0.25806451612903225,0.13793103448275862,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.7164790174002047,0.7261410788381742,0.7070707070707071,495.0,1
T-helper 22 cell,0.15584415584415584,0.13636363636363635,0.18181818181818182,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.41481481481481475,0.38095238095238093,0.45528455284552843,123.0,1
"effector CD8-positive, alpha-beta T cell",0.34760705289672544,0.28512396694214875,0.44516129032258067,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.17829457364341086,0.2987012987012987,0.1270718232044199,181.0,1
gamma-delta T cell,0.07633587786259541,0.1,0.06172839506172839,81.0,1
mature NK T cell,0.8363636363636364,0.9292929292929293,0.7603305785123967,121.0,1
mucosal invariant T cell,0.02325581395348837,0.0625,0.014285714285714285,70.0,1
naive B cell,0.9969604863221885,0.9939393939393939,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.4979811574697174,0.37074148296593185,0.7581967213114754,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.033707865168539325,0.14285714285714285,0.01910828025477707,157.0,1
CD14-positive monocyte,0.983388704318937,0.9899665551839465,0.976897689768977,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.19672131147540986,0.6666666666666666,0.11538461538461539,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.5557163531114327,0.4304932735426009,0.7836734693877551,245.0,2
T-helper 22 cell,0.2136752136752137,0.1968503937007874,0.2336448598130841,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.4786324786324787,0.39622641509433965,0.60431654676259,417.0,2
"effector CD8-positive, alpha-beta T cell",0.2566844919786097,0.375,0.1951219512195122,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.07462686567164178,0.35714285714285715,0.041666666666666664,120.0,2
gamma-delta T cell,0.0,0.0,0.0,47.0,2
mature NK T cell,0.8860759493670887,0.9090909090909091,0.8641975308641975,81.0,2
mucosal invariant T cell,0.0,0.0,0.0,78.0,2
naive B cell,0.9973474801061007,1.0,0.9947089947089947,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.4462151394422311,0.4117647058823529,0.48695652173913045,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.0,0.0,0.0,159.0,2
CD14-positive monocyte,0.9828850855745721,0.9852941176470589,0.9804878048780488,205.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.0,0.0,0.0,84.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.7028627838104641,0.5751211631663974,0.9035532994923858,394.0,3
T-helper 22 cell,0.24870466321243526,0.32432432432432434,0.20168067226890757,119.0,3
"central memory CD4-positive, alpha-beta T cell",0.4911504424778761,0.3894736842105263,0.6646706586826348,167.0,3
"effector CD8-positive, alpha-beta T cell",0.37209302325581395,0.48484848484848486,0.3018867924528302,212.0,3
"effector memory CD8-positive, alpha-beta T cell",0.1984126984126984,0.16666666666666666,0.24509803921568626,102.0,3
gamma-delta T cell,0.03636363636363636,0.2,0.02,100.0,3
mature NK T cell,0.8044692737430168,0.935064935064935,0.7058823529411765,102.0,3
mucosal invariant T cell,0.022727272727272728,0.1,0.01282051282051282,78.0,3
naive B cell,0.9942196531791908,0.9885057471264368,1.0,86.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.5599999999999998,0.5009940357852882,0.6347607052896725,397.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.15469613259668508,0.3684210526315789,0.0979020979020979,143.0,3
CD14-positive monocyte,0.9721362229102166,0.9515151515151515,0.9936708860759493,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.0,0.0,0.0,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.7350993377483444,0.6529411764705882,0.8409090909090909,264.0,4
T-helper 22 cell,0.24489795918367352,0.3956043956043956,0.17733990147783252,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.3778501628664495,0.2636363636363636,0.6666666666666666,174.0,4
"effector CD8-positive, alpha-beta T cell",0.39999999999999997,0.4659090909090909,0.3504273504273504,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.1959183673469388,0.20689655172413793,0.18604651162790697,129.0,4
gamma-delta T cell,0.047619047619047616,0.2,0.02702702702702703,74.0,4
mature NK T cell,0.7971014492753623,0.9821428571428571,0.6707317073170732,82.0,4
mucosal invariant T cell,0.07792207792207792,0.17647058823529413,0.05,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.4949928469241774,0.43358395989974935,0.5766666666666667,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.05181347150259068,0.19230769230769232,0.029940119760479042,167.0,4
CD14-positive monocyte,0.9901768172888017,0.9882352941176471,0.9921259842519685,254.0,5
"CD16-negative, CD56-bright natural killer cell, human",0.1111111111111111,0.4,0.06451612903225806,31.0,5
"CD16-positive, CD56-dim natural killer cell, human",0.7405940594059406,0.6171617161716172,0.9257425742574258,202.0,5
T-helper 22 cell,0.12444444444444447,0.25,0.08284023668639054,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.5304347826086957,0.40308370044052866,0.7754237288135594,236.0,5
