,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,201,0,0,0,0,0,0,0,4,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,0,67,0,11,2,2,0,0,0,0,2,0
"CD16-positive, CD56-dim natural killer cell, human",0,0,356,3,5,17,6,0,0,2,0,5,0
T-helper 22 cell,0,0,4,24,33,0,28,0,0,1,0,28,1
"central memory CD4-positive, alpha-beta T cell",0,0,8,7,111,1,7,0,0,0,0,32,1
"effector CD8-positive, alpha-beta T cell",0,0,94,3,0,64,12,6,1,1,1,28,2
"effector memory CD8-positive, alpha-beta T cell",0,0,22,5,10,14,25,0,0,5,0,18,3
gamma-delta T cell,0,0,27,1,10,14,11,2,0,0,0,31,4
mature NK T cell,3,0,10,2,0,9,3,0,72,0,0,3,0
mucosal invariant T cell,0,0,11,8,5,9,10,0,0,1,0,32,2
naive B cell,0,0,0,0,0,0,0,0,0,0,86,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,16,13,70,2,31,2,0,0,0,252,11
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,4,8,30,0,15,0,0,0,0,72,14
