cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9721362229102166,0.9515151515151515,0.9936708860759493,158.0
"CD16-negative, CD56-bright natural killer cell, human",0.0,0.0,0.0,24.0
"CD16-positive, CD56-dim natural killer cell, human",0.7350993377483444,0.6529411764705882,0.8409090909090909,264.0
T-helper 22 cell,0.24489795918367352,0.3956043956043956,0.17733990147783252,203.0
"central memory CD4-positive, alpha-beta T cell",0.3778501628664495,0.2636363636363636,0.6666666666666666,174.0
"effector CD8-positive, alpha-beta T cell",0.39999999999999997,0.4659090909090909,0.3504273504273504,117.0
"effector memory CD8-positive, alpha-beta T cell",0.1959183673469388,0.20689655172413793,0.18604651162790697,129.0
gamma-delta T cell,0.047619047619047616,0.2,0.02702702702702703,74.0
mature NK T cell,0.7971014492753623,0.9821428571428571,0.6707317073170732,82.0
mucosal invariant T cell,0.07792207792207792,0.17647058823529413,0.05,60.0
naive B cell,1.0,1.0,1.0,60.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.4949928469241774,0.43358395989974935,0.5766666666666667,300.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.05181347150259068,0.19230769230769232,0.029940119760479042,167.0
