cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9883913764510779,0.9933333333333333,0.9834983498349835,303.0
"CD16-negative, CD56-bright natural killer cell, human",0.8823529411764707,0.9,0.8653846153846154,52.0
"CD16-positive, CD56-dim natural killer cell, human",0.8496732026143791,0.9112149532710281,0.7959183673469388,245.0
T-helper 22 cell,0.4875,0.36619718309859156,0.7289719626168224,107.0
"central memory CD4-positive, alpha-beta T cell",0.6948228882833787,0.804416403785489,0.6115107913669064,417.0
"effector CD8-positive, alpha-beta T cell",0.6666666666666666,0.6122448979591837,0.7317073170731707,123.0
"effector memory CD8-positive, alpha-beta T cell",0.579185520361991,0.6336633663366337,0.5333333333333333,120.0
gamma-delta T cell,0.13235294117647062,0.10112359550561797,0.19148936170212766,47.0
mature NK T cell,0.8848484848484849,0.8690476190476191,0.9012345679012346,81.0
mucosal invariant T cell,0.46875,0.6,0.38461538461538464,78.0
naive B cell,1.0,1.0,1.0,189.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.76,0.7037037037037037,0.8260869565217391,230.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6013986013986014,0.6771653543307087,0.5408805031446541,159.0
