cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9935205183585313,0.9956709956709957,0.9913793103448276,232.0
"CD16-negative, CD56-bright natural killer cell, human",0.8453608247422681,0.8723404255319149,0.82,50.0
"CD16-positive, CD56-dim natural killer cell, human",0.9362363919129083,0.9318885448916409,0.940625,320.0
T-helper 22 cell,0.6486486486486486,0.6666666666666666,0.631578947368421,133.0
"central memory CD4-positive, alpha-beta T cell",0.696035242290749,0.683982683982684,0.7085201793721974,223.0
"effector CD8-positive, alpha-beta T cell",0.777027027027027,0.7012195121951219,0.8712121212121212,132.0
"effector memory CD8-positive, alpha-beta T cell",0.7478260869565218,0.7678571428571429,0.7288135593220338,118.0
gamma-delta T cell,0.4724409448818897,0.6521739130434783,0.37037037037037035,81.0
mature NK T cell,0.8571428571428573,0.971830985915493,0.7666666666666667,90.0
mucosal invariant T cell,0.7445255474452556,0.75,0.7391304347826086,69.0
naive B cell,1.0,1.0,1.0,124.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8306709265175719,0.7854984894259819,0.8813559322033898,295.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6666666666666667,0.6824324324324325,0.6516129032258065,155.0
