cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9935205183585313,0.9956709956709957,0.9913793103448276,232.0
"CD16-negative, CD56-bright natural killer cell, human",0.8510638297872342,0.9090909090909091,0.8,50.0
"CD16-positive, CD56-dim natural killer cell, human",0.9411764705882352,0.9325153374233128,0.95,320.0
T-helper 22 cell,0.5842696629213483,0.582089552238806,0.5864661654135338,133.0
"central memory CD4-positive, alpha-beta T cell",0.6681222707423581,0.6510638297872341,0.6860986547085202,223.0
"effector CD8-positive, alpha-beta T cell",0.8208955223880597,0.8088235294117647,0.8333333333333334,132.0
"effector memory CD8-positive, alpha-beta T cell",0.74235807860262,0.7657657657657657,0.7203389830508474,118.0
gamma-delta T cell,0.535031847133758,0.5526315789473685,0.5185185185185185,81.0
mature NK T cell,0.8187134502923977,0.8641975308641975,0.7777777777777778,90.0
mucosal invariant T cell,0.53125,0.576271186440678,0.4927536231884058,69.0
naive B cell,0.9959514170040485,1.0,0.9919354838709677,124.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8175895765472313,0.786833855799373,0.8508474576271187,295.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7615894039735099,0.782312925170068,0.7419354838709677,155.0
