cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9935205183585313,0.9956709956709957,0.9913793103448276,232.0
"CD16-negative, CD56-bright natural killer cell, human",0.8282828282828283,0.8367346938775511,0.82,50.0
"CD16-positive, CD56-dim natural killer cell, human",0.9547581903276131,0.9532710280373832,0.95625,320.0
T-helper 22 cell,0.664179104477612,0.6592592592592592,0.6691729323308271,133.0
"central memory CD4-positive, alpha-beta T cell",0.6799999999999999,0.6740088105726872,0.6860986547085202,223.0
"effector CD8-positive, alpha-beta T cell",0.8461538461538461,0.7857142857142857,0.9166666666666666,132.0
"effector memory CD8-positive, alpha-beta T cell",0.7692307692307694,0.7758620689655172,0.7627118644067796,118.0
gamma-delta T cell,0.6176470588235293,0.7636363636363637,0.5185185185185185,81.0
mature NK T cell,0.8518518518518519,0.9583333333333334,0.7666666666666667,90.0
mucosal invariant T cell,0.7462686567164178,0.7692307692307693,0.7246376811594203,69.0
naive B cell,1.0,1.0,1.0,124.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8412438625204582,0.8132911392405063,0.8711864406779661,295.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.673076923076923,0.6687898089171974,0.6774193548387096,155.0
