cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9762419006479481,0.9783549783549783,0.9741379310344828,232.0
"CD16-negative, CD56-bright natural killer cell, human",0.03508771929824562,0.14285714285714285,0.02,50.0
"CD16-positive, CD56-dim natural killer cell, human",0.680965147453083,0.596244131455399,0.79375,320.0
T-helper 22 cell,0.19642857142857142,0.24175824175824176,0.16541353383458646,133.0
"central memory CD4-positive, alpha-beta T cell",0.4532019704433498,0.35751295336787564,0.6188340807174888,223.0
"effector CD8-positive, alpha-beta T cell",0.33057851239669417,0.36363636363636365,0.30303030303030304,132.0
"effector memory CD8-positive, alpha-beta T cell",0.24034334763948498,0.24347826086956523,0.23728813559322035,118.0
gamma-delta T cell,0.044444444444444446,0.2222222222222222,0.024691358024691357,81.0
mature NK T cell,0.802469135802469,0.9027777777777778,0.7222222222222222,90.0
mucosal invariant T cell,0.07058823529411765,0.1875,0.043478260869565216,69.0
naive B cell,1.0,1.0,1.0,124.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.5014245014245016,0.43243243243243246,0.5966101694915255,295.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.12021857923497267,0.39285714285714285,0.07096774193548387,155.0
