,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,228,0,0,1,0,0,0,0,2,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,43,3,0,1,0,0,2,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,5,304,0,0,3,0,2,2,0,0,0,1
T-helper 22 cell,0,0,0,91,19,0,2,5,0,4,0,8,5
"central memory CD4-positive, alpha-beta T cell",0,0,0,25,150,3,1,3,0,4,0,24,13
"effector CD8-positive, alpha-beta T cell",0,0,1,1,0,110,13,3,2,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,5,2,10,78,6,0,5,0,0,12
gamma-delta T cell,0,0,2,9,5,4,6,47,0,7,0,3,0
mature NK T cell,1,0,6,0,2,6,3,0,71,1,0,0,0
mucosal invariant T cell,0,0,0,12,1,1,4,5,0,37,0,8,1
naive B cell,0,0,0,0,1,0,0,0,0,0,124,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,5,35,0,1,1,0,4,0,247,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,5,5,0,4,1,0,1,0,10,130
