cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9956709956709957,0.9956709956709957,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9072164948453607,0.9166666666666666,0.8979591836734694,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9574803149606299,0.9559748427672956,0.9589905362776026,317.0
T-helper 22 cell,0.6643356643356644,0.625,0.7089552238805971,134.0
"central memory CD4-positive, alpha-beta T cell",0.7104072398190046,0.7168949771689498,0.7040358744394619,223.0
"effector CD8-positive, alpha-beta T cell",0.8601398601398602,0.7935483870967742,0.9389312977099237,131.0
"effector memory CD8-positive, alpha-beta T cell",0.7982456140350878,0.8272727272727273,0.7711864406779662,118.0
gamma-delta T cell,0.5070422535211268,0.6101694915254238,0.43373493975903615,83.0
mature NK T cell,0.8554216867469879,0.9342105263157895,0.7888888888888889,90.0
mucosal invariant T cell,0.6666666666666667,0.6527777777777778,0.6811594202898551,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.867430441898527,0.8412698412698413,0.8952702702702703,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7046979865771813,0.7394366197183099,0.6730769230769231,156.0
