cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9935205183585313,0.9913793103448276,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9263157894736842,0.9565217391304348,0.8979591836734694,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9565217391304348,0.9418960244648318,0.9716088328075709,317.0
T-helper 22 cell,0.5934065934065934,0.5827338129496403,0.6044776119402985,134.0
"central memory CD4-positive, alpha-beta T cell",0.6837606837606838,0.6530612244897959,0.7174887892376681,223.0
"effector CD8-positive, alpha-beta T cell",0.8194444444444444,0.7515923566878981,0.9007633587786259,131.0
"effector memory CD8-positive, alpha-beta T cell",0.6899563318777293,0.7117117117117117,0.6694915254237288,118.0
gamma-delta T cell,0.4225352112676056,0.5084745762711864,0.3614457831325301,83.0
mature NK T cell,0.8402366863905325,0.8987341772151899,0.7888888888888889,90.0
mucosal invariant T cell,0.5909090909090909,0.6190476190476191,0.5652173913043478,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.82,0.8092105263157895,0.831081081081081,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7216494845360825,0.7777777777777778,0.6730769230769231,156.0
