,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CD14-positive monocyte,230,0,0,0,0,0,0,0,1,0,0,0,0
"CD16-negative, CD56-bright natural killer cell, human",0,44,5,0,0,0,0,0,0,0,0,0,0
"CD16-positive, CD56-dim natural killer cell, human",0,4,309,0,0,3,0,1,0,0,0,0,0
T-helper 22 cell,0,0,0,85,29,0,2,3,0,5,0,8,2
"central memory CD4-positive, alpha-beta T cell",0,0,0,17,171,2,3,1,0,2,0,22,5
"effector CD8-positive, alpha-beta T cell",0,0,1,0,0,122,6,1,0,0,0,0,1
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,2,100,1,0,4,0,0,10
gamma-delta T cell,0,0,1,10,12,4,4,39,0,11,1,1,0
mature NK T cell,2,0,1,0,0,7,1,1,77,0,0,1,0
mucosal invariant T cell,0,0,0,4,1,1,5,6,0,50,0,2,0
naive B cell,0,0,0,0,0,0,0,0,0,0,125,0,0
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,2,21,0,0,1,0,2,0,266,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,6,14,0,3,1,0,0,0,12,120
