cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9956709956709957,0.9956709956709957,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.8172043010752689,0.8636363636363636,0.7755102040816326,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9242902208201893,0.9242902208201893,0.9242902208201893,317.0
T-helper 22 cell,0.6334519572953736,0.6054421768707483,0.664179104477612,134.0
"central memory CD4-positive, alpha-beta T cell",0.672645739910314,0.672645739910314,0.672645739910314,223.0
"effector CD8-positive, alpha-beta T cell",0.7482517482517482,0.6903225806451613,0.816793893129771,131.0
"effector memory CD8-positive, alpha-beta T cell",0.694560669456067,0.6859504132231405,0.7033898305084746,118.0
gamma-delta T cell,0.34782608695652173,0.43636363636363634,0.2891566265060241,83.0
mature NK T cell,0.9156626506024096,1.0,0.8444444444444444,90.0
mucosal invariant T cell,0.723404255319149,0.7083333333333334,0.7391304347826086,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8548387096774194,0.8179012345679012,0.8952702702702703,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6805555555555556,0.7424242424242424,0.6282051282051282,156.0
