cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9956709956709957,0.9956709956709957,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.875,0.8936170212765957,0.8571428571428571,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.945859872611465,0.954983922829582,0.9369085173501577,317.0
T-helper 22 cell,0.5494505494505495,0.539568345323741,0.5597014925373134,134.0
"central memory CD4-positive, alpha-beta T cell",0.6995708154506438,0.6707818930041153,0.7309417040358744,223.0
"effector CD8-positive, alpha-beta T cell",0.7969348659003831,0.8,0.7938931297709924,131.0
"effector memory CD8-positive, alpha-beta T cell",0.6775510204081633,0.6535433070866141,0.7033898305084746,118.0
gamma-delta T cell,0.4528301886792453,0.47368421052631576,0.43373493975903615,83.0
mature NK T cell,0.8636363636363636,0.8837209302325582,0.8444444444444444,90.0
mucosal invariant T cell,0.5942028985507246,0.5942028985507246,0.5942028985507246,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8249158249158249,0.8221476510067114,0.8277027027027027,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8040540540540541,0.85,0.7628205128205128,156.0
