donor_id,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
A01,100,100,100,100,100,100,100
A02,100,100,62,100,100,100,100
A03,100,100,100,100,100,100,100
A04,100,100,100,100,100,100,100
A05,100,100,100,100,100,100,100
A06,100,100,55,100,100,100,45
A07,100,100,100,100,100,100,100
A08,100,100,100,100,100,100,100
A09,100,100,100,100,100,100,100
A10,100,100,38,100,100,100,100
A11,100,100,100,100,100,100,100
A12,100,100,34,100,100,100,96
A13,100,100,100,100,100,100,100
A14,100,100,100,100,100,100,100
A15,100,100,100,100,100,100,100
A16,100,100,73,100,100,100,35
A17,100,100,100,100,100,100,100
A18,100,100,100,100,100,100,100
A19,100,100,100,100,100,100,100
A20,100,100,100,100,100,100,100
A21,100,100,100,100,100,100,100
A22,100,100,98,100,100,100,100
A23,100,100,100,100,100,100,100
A24,100,100,100,100,100,100,100
A25,100,100,37,100,100,100,66
A26,100,100,100,100,100,100,100
A27,100,100,100,100,100,100,100
A28,100,100,100,100,100,100,100
A29,100,100,100,100,100,100,100
A30,100,100,100,100,100,100,100
A31,100,100,100,100,100,100,100
A33,100,100,100,100,100,100,100
A34,100,100,100,100,100,100,100
A35,100,100,46,100,100,100,100
A36,100,100,100,100,100,100,85
A37,100,100,88,100,100,100,100
A38,100,100,69,100,100,100,100
A40,100,100,33,100,100,100,100
A41,100,100,100,100,100,100,100
B01,100,100,100,100,100,100,100
B02,100,100,25,100,100,100,48
B03,100,100,100,100,100,100,100
B04,100,100,75,100,100,100,100
B05,100,100,100,100,100,100,72
B06,100,100,100,100,100,100,100
B08,100,100,40,100,100,100,100
B09,100,100,72,100,100,100,60
B10,100,100,100,100,100,100,100
B11,100,100,36,100,100,100,100
B12,100,100,100,100,100,100,99
B13,100,100,100,100,100,100,100
B14,100,100,100,100,100,100,100
B15,100,100,43,100,100,100,100
B16,100,100,100,100,100,100,86
B17,100,100,100,100,100,100,63
B18,100,100,100,100,100,100,100
B19,100,100,70,100,100,100,78
B20,100,100,100,100,100,100,100
B21,100,100,47,100,100,100,100
B22,100,100,13,100,100,100,49
B23,100,100,100,100,100,100,58
B24,100,100,41,100,100,100,100
C01,100,100,96,100,100,100,100
C02,5,100,11,100,100,75,9
C04,100,100,100,100,100,100,41
C05,100,100,100,100,100,100,100
C06,100,100,91,100,100,100,86
C07,100,100,100,100,100,100,58
C08,100,100,15,100,100,100,100
C09,100,100,100,100,100,100,100
C10,100,100,96,100,100,100,100
C11,100,100,100,100,100,100,100
C12,100,100,100,100,100,100,100
C13,100,100,100,100,100,100,100
C14,100,100,20,100,100,100,38
C15,100,100,100,100,100,100,100
C16,100,100,100,100,100,100,100
C17,44,100,100,100,100,100,100
C18,100,100,23,100,100,100,50
D01,100,100,54,100,100,100,100
D02,100,100,100,100,100,100,100
D03,100,100,89,100,100,100,100
D04,100,100,100,100,100,100,29
D05,100,100,73,100,100,100,100
D06,100,100,4,100,100,100,100
D07,100,100,16,100,100,100,74
D08,100,100,50,100,100,100,100
D09,100,100,97,100,100,100,100
D10,100,100,10,100,100,100,100
D11,100,100,39,100,100,100,100
D12,100,100,100,100,100,100,100
D13,100,100,100,100,100,100,44
D14,100,100,44,100,100,100,100
D15,48,100,15,100,100,100,17
D16,100,100,65,100,100,100,100
D17,100,100,100,100,100,100,100
D18,100,100,23,100,100,100,97
D19,100,100,41,100,100,100,100
D20,100,100,100,100,100,100,53
D21,100,100,13,100,100,100,84
D22,100,100,20,100,100,100,58
D23,100,100,61,100,100,100,88
D24,100,100,81,100,100,100,100
E01,100,100,16,100,100,100,33
E02,100,100,29,100,100,100,92
E03,100,100,67,100,100,100,100
E04,100,100,100,100,100,100,53
E05,100,100,100,100,100,100,86
E06,100,100,100,100,100,100,57
E07,100,100,23,100,100,100,38
E08,100,100,100,100,100,100,100
E09,100,100,79,100,100,100,100
E10,100,100,35,100,100,100,100
E11,100,100,100,100,100,100,100
E12,100,100,59,100,100,100,100
E13,100,100,81,100,100,100,100
E14,100,100,85,100,100,100,90
E15,100,100,4,100,100,100,100
E16,100,100,100,100,100,100,96
E18,100,100,100,100,100,100,100
E19,100,100,18,100,100,100,43
E20,100,100,69,100,100,100,100
E21,100,100,100,100,100,100,100
E22,100,100,100,100,100,100,100
E23,100,100,95,100,100,100,56
