donor_id,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002,0,0,0,2,46,3,38,100,4,100,79,5,0,0,0,0,100,51,9,3,100,6,1,4,0,0,3,0,0,15,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003,0,0,0,2,61,0,86,100,100,100,100,4,0,0,0,6,100,100,10,0,90,26,4,0,0,1,2,0,0,62,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004,0,2,0,2,15,63,49,100,6,100,53,12,0,0,0,1,100,99,2,12,100,5,2,4,0,0,7,1,0,43,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005,0,0,0,2,9,65,30,89,7,100,60,35,0,0,0,0,100,100,17,0,100,8,0,0,0,0,2,0,0,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006,0,1,0,0,4,12,3,18,0,100,17,26,0,0,0,2,100,38,8,52,100,2,0,3,0,0,1,0,0,35,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC007,0,9,0,3,1,26,0,2,1,100,11,6,0,0,0,0,100,100,6,9,100,0,1,15,0,0,1,0,0,12,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC008,0,2,0,2,10,13,21,100,3,100,8,18,0,0,0,0,100,53,4,6,100,4,0,13,0,0,1,0,0,25,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C,0,2,3,94,2,0,10,58,2,0,11,0,8,32,24,5,2,0,17,0,0,13,6,0,1,4,0,0,0,0,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747290B,0,47,1,10,10,1,100,61,100,2,100,0,0,0,0,0,2,0,34,0,46,30,100,0,0,0,0,0,0,1,35
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B,3,22,3,9,3,0,38,13,9,0,79,0,0,0,0,0,1,0,27,0,9,6,8,0,0,0,0,0,0,0,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747296C,97,100,4,100,1,0,2,0,15,1,100,1,0,1,17,19,1,0,100,0,6,1,29,7,0,2,0,0,0,3,11
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C,0,100,26,100,16,1,100,31,100,1,100,0,0,8,55,9,5,0,100,0,55,4,100,1,1,8,0,0,0,0,4
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747302C,3,48,1,100,2,0,7,1,100,0,66,0,1,3,0,6,0,0,100,0,0,0,100,2,0,0,0,0,0,0,6
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C,34,100,16,100,100,1,100,100,100,2,100,0,32,41,6,68,0,0,100,0,67,100,100,15,0,72,0,0,0,1,15
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C,7,100,100,100,100,3,100,100,65,1,100,0,34,67,39,100,0,0,100,0,19,12,13,6,16,78,0,0,0,0,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C,21,100,100,95,100,6,100,100,100,2,100,0,8,30,94,100,0,0,100,0,25,100,59,10,2,31,0,0,0,2,42
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322,0,2,0,0,0,100,7,4,0,100,21,2,0,0,5,100,28,100,0,0,7,0,1,20,0,9,14,31,100,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,0,1,0,45,4,100,31,67,5,100,100,5,0,1,0,100,53,0,58,23,100,6,0,17,0,13,21,5,15,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337,0,0,0,100,5,7,19,15,6,100,8,9,0,0,0,0,27,0,7,2,100,7,1,0,0,0,0,0,0,10,24
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339,0,1,0,0,0,100,3,2,2,100,27,5,0,0,0,100,100,12,1,3,100,0,4,14,0,10,100,100,100,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,0,0,0,100,21,100,47,18,34,100,61,22,0,2,3,100,100,0,38,2,100,3,9,32,0,6,56,95,100,100,52
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353,0,0,0,100,14,100,25,36,9,100,100,97,0,0,0,100,100,50,31,28,100,3,1,26,0,6,8,4,16,100,11
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,0,0,0,7,6,100,12,37,2,100,41,37,0,0,0,100,100,1,0,11,100,6,3,5,0,0,40,100,100,100,6
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363,0,0,0,100,4,100,27,51,10,100,52,16,0,0,0,100,100,0,69,10,100,1,2,22,0,5,3,0,0,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367,0,0,0,100,3,100,10,100,2,100,51,43,0,0,0,100,100,1,2,8,100,0,0,15,0,2,43,6,24,100,4
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,0,1,0,92,6,100,42,64,5,100,94,38,0,0,0,100,100,2,9,35,100,4,1,100,0,20,39,64,27,100,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_01,2,0,2,100,5,0,10,7,44,0,42,2,2,6,15,27,0,0,100,0,22,2,18,0,0,16,0,0,0,0,14
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02,0,2,25,100,0,11,9,4,89,0,49,1,1,8,21,20,0,0,80,0,81,6,12,3,1,8,0,0,0,1,31
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03,9,6,9,100,0,4,5,2,67,3,21,0,0,6,17,9,4,0,52,0,67,1,17,0,0,100,0,0,0,0,100
