donor_id,n_cells
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,1937
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,1804
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6,1784
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,1718
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,1703
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84,1632
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,1613
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94,1557
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95,1537
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104,1515
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD103,1488
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C,1427
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,1396
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747356C,1370
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,1314
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D344,1301
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C,1262
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D372,1245
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68,1235
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005,1196
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D353,1165
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106,1144
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,1143
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4,1138
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66,1111
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5,1090
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,1082
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,1082
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98,1078
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101,1051
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92,1040
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D354,1014
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D367,1014
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008,997
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339,985
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D363,972
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,971
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003,954
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C,925
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,876
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2,859
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06,841
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005,824
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071,820
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07,807
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004,779
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_3,773
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70,767
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322,751
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007,729
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0014,705
