patient_id,CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",gamma-delta T cell,mature NK T cell,mucosal invariant T cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell"
CV0902,22,28,121,14,41,20,17,17,5,11,52,22,28
CV0904,4,14,46,108,128,7,15,7,2,19,9,48,55
CV0911,33,13,148,31,54,1,11,20,1,9,23,35,63
CV0915,26,7,47,13,223,1,12,6,0,15,30,52,19
CV0917,37,1,30,87,92,9,17,19,24,10,14,79,44
CV0926,36,5,80,34,93,0,14,15,8,3,18,96,15
CV0929,48,6,25,30,54,5,22,8,11,9,68,58,58
CV0934,18,2,32,30,84,10,28,27,2,34,30,78,71
CV0939,61,4,47,15,97,36,14,11,6,14,31,112,10
CV0940,45,4,40,34,56,107,58,6,8,20,16,42,11
CV0944,23,8,116,13,71,21,28,11,9,13,55,45,28
MH8919176,22,15,55,21,10,38,29,63,26,44,2,79,46
MH8919177,64,20,63,18,6,96,30,11,27,12,6,102,10
MH8919178,109,5,41,19,1,4,18,32,31,8,48,81,49
MH8919179,55,5,44,9,14,93,35,22,37,11,13,73,28
MH8919226,166,33,101,0,0,0,0,0,60,0,45,0,0
MH8919227,115,22,158,0,0,0,0,0,52,0,49,0,0
MH8919282,43,23,81,14,10,15,21,29,21,33,8,129,36
MH8919283,28,3,48,27,31,24,67,23,10,10,35,44,56
MH8919332,55,14,57,37,15,55,14,3,35,10,12,100,51
MH8919333,80,8,68,27,10,5,11,53,25,17,33,65,34
newcastle65,33,5,42,76,14,14,66,13,20,30,10,113,32
newcastle74,30,2,92,12,11,95,65,18,29,14,17,26,37
