cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9913793103448276,0.9871244635193133,0.9956709956709957,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.8659793814432989,0.875,0.8571428571428571,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9247648902821317,0.9190031152647975,0.9305993690851735,317.0
T-helper 22 cell,0.6594202898550725,0.6408450704225352,0.6791044776119403,134.0
"central memory CD4-positive, alpha-beta T cell",0.6036036036036035,0.6063348416289592,0.600896860986547,223.0
"effector CD8-positive, alpha-beta T cell",0.7612456747404844,0.6962025316455697,0.8396946564885496,131.0
"effector memory CD8-positive, alpha-beta T cell",0.7012987012987013,0.7168141592920354,0.6864406779661016,118.0
gamma-delta T cell,0.34074074074074073,0.4423076923076923,0.27710843373493976,83.0
mature NK T cell,0.8301886792452831,0.9565217391304348,0.7333333333333333,90.0
mucosal invariant T cell,0.656934306569343,0.6617647058823529,0.6521739130434783,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8107255520504733,0.7603550295857988,0.8682432432432432,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6758620689655171,0.7313432835820896,0.6282051282051282,156.0
