cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9913419913419913,0.9913419913419913,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9574468085106383,1.0,0.9183673469387755,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9683544303797469,0.9714285714285714,0.9652996845425867,317.0
T-helper 22 cell,0.6209386281588447,0.6013986013986014,0.6417910447761194,134.0
"central memory CD4-positive, alpha-beta T cell",0.640909090909091,0.6497695852534562,0.6322869955156951,223.0
"effector CD8-positive, alpha-beta T cell",0.8428571428571427,0.7919463087248322,0.9007633587786259,131.0
"effector memory CD8-positive, alpha-beta T cell",0.725,0.7131147540983607,0.7372881355932204,118.0
gamma-delta T cell,0.5316455696202531,0.56,0.5060240963855421,83.0
mature NK T cell,0.8250000000000001,0.9428571428571428,0.7333333333333333,90.0
mucosal invariant T cell,0.5538461538461539,0.5901639344262295,0.5217391304347826,69.0
naive B cell,1.0,1.0,1.0,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8103727714748785,0.778816199376947,0.8445945945945946,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7960526315789475,0.8175675675675675,0.7756410256410257,156.0
