cell_type,f1,precision,recall,support
B cell,0.5714285714285715,0.6666666666666666,0.5,4.0
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,3.0
CD14-positive monocyte,0.9870689655172413,0.9828326180257511,0.9913419913419913,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.86,0.8431372549019608,0.8775510204081632,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.948356807511737,0.9380804953560371,0.9588607594936709,316.0
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,2.0
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,1.0
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,2.0
"ILC1, human",0.0,0.0,0.0,7.0
IgA plasma cell,0.8571428571428571,1.0,0.75,4.0
IgG plasma cell,0.0,0.0,0.0,2.0
IgM plasma cell,0.0,0.0,0.0,1.0
T follicular helper cell,0.29268292682926833,0.4,0.23076923076923078,26.0
T-helper 1 cell,0.0,0.0,0.0,2.0
T-helper 2 cell,0.0,0.0,0.0,0.0
T-helper 22 cell,0.63003663003663,0.6187050359712231,0.6417910447761194,134.0
"central memory CD4-positive, alpha-beta T cell",0.6331877729257641,0.6170212765957447,0.6502242152466368,223.0
class switched memory B cell,0.509090909090909,0.5833333333333334,0.45161290322580644,31.0
dendritic cell,0.5,1.0,0.3333333333333333,3.0
"dendritic cell, human",0.6976744186046512,0.7894736842105263,0.625,24.0
"effector CD8-positive, alpha-beta T cell",0.8071428571428573,0.7583892617449665,0.8625954198473282,131.0
"effector memory CD4-positive, alpha-beta T cell",0.3333333333333333,0.5,0.25,4.0
"effector memory CD8-positive, alpha-beta T cell",0.7248908296943231,0.7477477477477478,0.7033898305084746,118.0
erythrocyte,1.0,1.0,1.0,11.0
"erythroid progenitor cell, mammalian",0.6666666666666666,0.5,1.0,2.0
gamma-delta T cell,0.4028776978417266,0.5,0.3373493975903614,83.0
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0
immature B cell,0.10526315789473684,0.3333333333333333,0.0625,16.0
mature NK T cell,0.8402366863905325,0.8987341772151899,0.7888888888888889,90.0
mucosal invariant T cell,0.6962962962962962,0.7121212121212122,0.6811594202898551,69.0
myeloid dendritic cell,0.8,0.7142857142857143,0.9090909090909091,22.0
naive B cell,0.8210526315789474,0.73125,0.936,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.829113924050633,0.7797619047619048,0.8851351351351351,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6905537459283388,0.7019867549668874,0.6794871794871795,156.0
natural killer cell,0.4,1.0,0.25,4.0
plasmablast,0.0,0.0,0.0,1.0
plasmacytoid dendritic cell,1.0,1.0,1.0,13.0
platelet,0.8205128205128205,0.8421052631578947,0.8,40.0
regulatory T cell,0.0,0.0,0.0,2.0
unswitched memory B cell,0.0,0.0,0.0,9.0
