cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9960474308300395,1.0,0.9921259842519685,254.0,5
"CD16-negative, CD56-bright natural killer cell, human",0.8771929824561403,0.9615384615384616,0.8064516129032258,31.0,5
"CD16-positive, CD56-dim natural killer cell, human",0.9779951100244499,0.966183574879227,0.9900990099009901,202.0,5
T-helper 22 cell,0.6312056737588654,0.7876106194690266,0.5266272189349113,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.73046875,0.677536231884058,0.7923728813559322,236.0,5
"effector CD8-positive, alpha-beta T cell",0.6086956521739131,0.44954128440366975,0.9423076923076923,52.0,5
"effector memory CD8-positive, alpha-beta T cell",0.5611510791366906,0.48148148148148145,0.6724137931034483,58.0,5
gamma-delta T cell,0.2595419847328244,0.6071428571428571,0.1650485436893204,103.0,5
mature NK T cell,0.9180327868852458,0.9655172413793104,0.875,64.0,5
mucosal invariant T cell,0.6017699115044246,0.6181818181818182,0.5862068965517241,58.0,5
naive B cell,1.0,1.0,1.0,121.0,5
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8387096774193549,0.8280254777070064,0.8496732026143791,306.0,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6903225806451613,0.6604938271604939,0.722972972972973,148.0,5
