cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9874476987447699,0.9874476987447699,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8521739130434783,0.8596491228070176,0.8448275862068966,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9604863221884499,0.9634146341463414,0.9575757575757575,495.0,1
T-helper 22 cell,0.6415094339622641,0.5483870967741935,0.7727272727272727,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.62882096069869,0.6792452830188679,0.5853658536585366,123.0,1
"effector CD8-positive, alpha-beta T cell",0.8074534161490683,0.7784431137724551,0.8387096774193549,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7989130434782609,0.786096256684492,0.8121546961325967,181.0,1
gamma-delta T cell,0.4525547445255475,0.5535714285714286,0.38271604938271603,81.0,1
mature NK T cell,0.852017937219731,0.9313725490196079,0.7851239669421488,121.0,1
mucosal invariant T cell,0.6962962962962963,0.7230769230769231,0.6714285714285714,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8313725490196078,0.7969924812030075,0.8688524590163934,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7823343848580442,0.775,0.7898089171974523,157.0,1
