cell_type,f1,precision,recall,support
naive B cell,1.0,1.0,1.0,124.8
CD14-positive monocyte,0.9926582547154792,0.9906652655021777,0.9947219401543489,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9519009090469911,0.9470473994281894,0.9579414254929619,316.4
mature NK T cell,0.8684194243343505,0.9590477891561482,0.7976557467276661,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8594568899873922,0.898213853599516,0.8262946947515168,49.4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8464716876702963,0.813556958525737,0.8862330377675072,295.8
"effector CD8-positive, alpha-beta T cell",0.8094776698469752,0.7665255894725587,0.8672784280883995,131.2
"effector memory CD8-positive, alpha-beta T cell",0.7176278669806526,0.7247313482630143,0.7119859738737754,118.4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6802022901441721,0.7221122737702255,0.6558527836929355,156.2
mucosal invariant T cell,0.6691820140158088,0.6743823124835784,0.6651278893520273,69.2
"central memory CD4-positive, alpha-beta T cell",0.658088382402196,0.6607677241394221,0.6833862168890114,223.0
T-helper 22 cell,0.6223548162447774,0.6260073605243747,0.6608586895104624,133.8
gamma-delta T cell,0.40742133704947764,0.5152873229100792,0.36676224204725344,82.8
