cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9883913764510779,0.9933333333333333,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8823529411764707,0.9,0.8653846153846154,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8771929824561404,0.9478672985781991,0.8163265306122449,245.0,2
T-helper 22 cell,0.4774193548387097,0.3645320197044335,0.6915887850467289,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6568483063328424,0.851145038167939,0.5347721822541966,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7117437722419929,0.6329113924050633,0.8130081300813008,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.56,0.6,0.525,120.0,2
gamma-delta T cell,0.15384615384615383,0.12048192771084337,0.2127659574468085,47.0,2
mature NK T cell,0.8902439024390244,0.8795180722891566,0.9012345679012346,81.0,2
mucosal invariant T cell,0.4592592592592592,0.543859649122807,0.3974358974358974,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7559633027522936,0.653968253968254,0.8956521739130435,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.619047619047619,0.674074074074074,0.5723270440251572,159.0,2
