cell_type,f1,precision,recall,support
naive B cell,1.0,1.0,1.0,124.8
CD14-positive monocyte,0.99145045294656,0.9892145693720525,0.9937602070148225,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9427472051200525,0.9422287945476958,0.946126975268087,316.4
"CD16-negative, CD56-bright natural killer cell, human",0.8661780382190344,0.9144091497791689,0.8266158597454888,49.4
mature NK T cell,0.8587403258499361,0.9285010267920857,0.8029404765895413,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8117133414134547,0.8103950155407308,0.8244718870954866,295.8
"effector CD8-positive, alpha-beta T cell",0.7638762742191114,0.6970603318679368,0.8569737790471568,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6750222292579069,0.7244900899591975,0.6347308960780322,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6557081408124257,0.65174360985617,0.6745557196742362,118.4
"central memory CD4-positive, alpha-beta T cell",0.6246114023742463,0.6008657799287848,0.6918675610828561,223.0
mucosal invariant T cell,0.610186062444127,0.6632524493050809,0.57122363268915,69.2
T-helper 22 cell,0.5730297087464633,0.5679965013681338,0.6235060349759245,133.8
gamma-delta T cell,0.30157396782783785,0.4197217617309251,0.2631558968638969,82.8
