cell_type,f1,precision,recall,support,fold
B cell,0.4,0.5,0.3333333333333333,3.0,1
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,1.0,1
CD14-positive monocyte,0.9752066115702479,0.963265306122449,0.9874476987447699,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8166666666666667,0.7903225806451613,0.8448275862068966,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.928643216080402,0.924,0.9333333333333333,495.0,1
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,3.0,1
"CD4-positive, alpha-beta T cell",0.6666666666666666,1.0,0.5,2.0,1
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,1
"ILC1, human",0.0,0.0,0.0,3.0,1
IgA plasma cell,0.6666666666666665,0.75,0.6,5.0,1
IgG plasma cell,0.0,0.0,0.0,0.0,1
IgM plasma cell,0.0,0.0,0.0,2.0,1
T follicular helper cell,0.13333333333333333,0.6666666666666666,0.07407407407407407,27.0,1
T-helper 1 cell,0.0,0.0,0.0,1.0,1
T-helper 2 cell,0.0,0.0,0.0,1.0,1
T-helper 22 cell,0.5818181818181818,0.48484848484848486,0.7272727272727273,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.5622775800711743,0.5,0.6422764227642277,123.0,1
class switched memory B cell,0.6388888888888888,0.8214285714285714,0.5227272727272727,44.0,1
dendritic cell,0.8571428571428571,1.0,0.75,4.0,1
"dendritic cell, human",0.7906976744186046,0.8095238095238095,0.7727272727272727,22.0,1
"effector CD8-positive, alpha-beta T cell",0.7777777777777778,0.7455621301775148,0.8129032258064516,155.0,1
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,8.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7402985074626866,0.8051948051948052,0.6850828729281768,181.0,1
erythrocyte,1.0,1.0,1.0,1.0,1
"erythroid progenitor cell, mammalian",0.8571428571428571,0.75,1.0,3.0,1
gamma-delta T cell,0.36486486486486486,0.40298507462686567,0.3333333333333333,81.0,1
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,0.0,1
immature B cell,0.0,0.0,0.0,23.0,1
mature NK T cell,0.8623853211009175,0.9690721649484536,0.7768595041322314,121.0,1
mucosal invariant T cell,0.6486486486486486,0.6153846153846154,0.6857142857142857,70.0,1
myeloid dendritic cell,0.9090909090909091,0.9259259259259259,0.8928571428571429,28.0,1
naive B cell,0.8412698412698413,0.7429906542056075,0.9695121951219512,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8160919540229886,0.7661870503597122,0.8729508196721312,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7335640138408303,0.803030303030303,0.6751592356687898,157.0,1
natural killer cell,0.0,0.0,0.0,5.0,1
plasmablast,0.0,0.0,0.0,3.0,1
plasmacytoid dendritic cell,1.0,1.0,1.0,22.0,1
platelet,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0,1
regulatory T cell,0.0,0.0,0.0,3.0,1
unswitched memory B cell,0.0,0.0,0.0,6.0,1
B cell,0.0,0.0,0.0,4.0,2
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,1.0,2
CD14-positive monocyte,0.9900990099009901,0.9900990099009901,0.9900990099009901,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.7321428571428571,0.6833333333333333,0.7884615384615384,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8287526427061311,0.8596491228070176,0.8,245.0,2
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,1.0,2
"CD4-positive, alpha-beta T cell",0.0,0.0,0.0,0.0,2
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,2
"ILC1, human",0.0,0.0,0.0,16.0,2
IgA plasma cell,0.6250000000000001,0.7142857142857143,0.5555555555555556,9.0,2
IgG plasma cell,0.0,0.0,0.0,4.0,2
IgM plasma cell,0.0,0.0,0.0,1.0,2
T follicular helper cell,0.08000000000000002,0.2,0.05,20.0,2
T-helper 1 cell,0.0,0.0,0.0,4.0,2
T-helper 2 cell,0.0,0.0,0.0,0.0,2
T-helper 22 cell,0.4907975460122699,0.365296803652968,0.7476635514018691,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6,0.7944664031620553,0.48201438848920863,417.0,2
class switched memory B cell,0.4761904761904762,0.46511627906976744,0.4878048780487805,41.0,2
dendritic cell,0.6666666666666666,1.0,0.5,6.0,2
"dendritic cell, human",0.8732394366197184,1.0,0.775,40.0,2
"effector CD8-positive, alpha-beta T cell",0.6567164179104478,0.6068965517241379,0.7154471544715447,123.0,2
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,1.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6724137931034482,0.6964285714285714,0.65,120.0,2
erythrocyte,0.84,0.9130434782608695,0.7777777777777778,27.0,2
"erythroid progenitor cell, mammalian",0.3333333333333333,0.25,0.5,2.0,2
gamma-delta T cell,0.2,0.1643835616438356,0.2553191489361702,47.0,2
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,2.0,2
immature B cell,0.12903225806451613,0.6666666666666666,0.07142857142857142,28.0,2
mature NK T cell,0.8999999999999999,0.9113924050632911,0.8888888888888888,81.0,2
mucosal invariant T cell,0.5986394557823129,0.6376811594202898,0.5641025641025641,78.0,2
myeloid dendritic cell,0.8125000000000001,0.6842105263157895,1.0,26.0,2
naive B cell,0.8226950354609929,0.7435897435897436,0.9206349206349206,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7651245551601423,0.6475903614457831,0.9347826086956522,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6048109965635738,0.6666666666666666,0.5534591194968553,159.0,2
natural killer cell,0.0,0.0,0.0,3.0,2
plasmablast,0.0,0.0,0.0,2.0,2
plasmacytoid dendritic cell,1.0,1.0,1.0,13.0,2
platelet,0.8245614035087719,0.7833333333333333,0.8703703703703703,54.0,2
regulatory T cell,0.0,0.0,0.0,2.0,2
unswitched memory B cell,0.0,0.0,0.0,13.0,2
B cell,0.0,0.0,0.0,3.0,3
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,3.0,3
CD14-positive monocyte,0.9827160493827161,0.9660194174757282,1.0,199.0,3
