cell_type,f1,precision,recall,support,fold
B cell,0.5714285714285715,0.6666666666666666,0.5,4.0,4
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,2.0,4
CD14-positive monocyte,0.9873417721518988,0.9873417721518988,0.9873417721518988,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.7555555555555556,0.8095238095238095,0.7083333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9445438282647585,0.8949152542372881,1.0,264.0,4
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,0.0,4
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,4
"CD8-positive, alpha-beta T cell",0.0,0.0,0.0,3.0,4
"ILC1, human",0.0,0.0,0.0,7.0,4
IgA plasma cell,1.0,1.0,1.0,2.0,4
IgG plasma cell,0.0,0.0,0.0,0.0,4
IgM plasma cell,0.0,0.0,0.0,2.0,4
T follicular helper cell,0.06060606060606061,0.2,0.03571428571428571,28.0,4
T-helper 1 cell,0.0,0.0,0.0,1.0,4
T-helper 2 cell,0.0,0.0,0.0,1.0,4
T-helper 22 cell,0.5195530726256983,0.6,0.458128078817734,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.4672131147540984,0.3630573248407643,0.6551724137931034,174.0,4
class switched memory B cell,0.6956521739130435,0.6666666666666666,0.7272727272727273,11.0,4
dendritic cell,0.6666666666666666,0.5,1.0,1.0,4
"dendritic cell, human",0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0,4
"effector CD8-positive, alpha-beta T cell",0.8535564853556485,0.8360655737704918,0.8717948717948718,117.0,4
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,4.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7573529411764706,0.7202797202797203,0.7984496124031008,129.0,4
erythrocyte,0.8571428571428571,0.75,1.0,6.0,4
"erythroid progenitor cell, mammalian",1.0,1.0,1.0,4.0,4
gamma-delta T cell,0.19607843137254902,0.35714285714285715,0.13513513513513514,74.0,4
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,4
immature B cell,0.19999999999999998,1.0,0.1111111111111111,9.0,4
mature NK T cell,0.8435374149659864,0.9538461538461539,0.7560975609756098,82.0,4
mucosal invariant T cell,0.5765765765765766,0.6274509803921569,0.5333333333333333,60.0,4
myeloid dendritic cell,0.6666666666666667,0.6875,0.6470588235294118,17.0,4
naive B cell,0.8444444444444444,0.76,0.95,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8192371475953566,0.8151815181518152,0.8233333333333334,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5656565656565656,0.6461538461538462,0.5029940119760479,167.0,4
natural killer cell,0.6666666666666666,0.5,1.0,3.0,4
plasmablast,0.0,0.0,0.0,0.0,4
plasmacytoid dendritic cell,1.0,1.0,1.0,8.0,4
platelet,0.8372093023255814,0.782608695652174,0.9,20.0,4
regulatory T cell,0.0,0.0,0.0,0.0,4
unswitched memory B cell,0.2857142857142857,1.0,0.16666666666666666,6.0,4
