cell_type,f1,precision,recall,support,fold
B cell,0.0,0.0,0.0,4.0,4
"CD14-low, CD16-positive monocyte",0.0,0.0,0.0,2.0,4
CD14-positive monocyte,0.9811320754716981,0.975,0.9873417721518988,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8085106382978724,0.8260869565217391,0.7916666666666666,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9581056466302367,0.9228070175438596,0.9962121212121212,264.0,4
"CD34-positive, CD38-negative hematopoietic stem cell",0.0,0.0,0.0,0.0,4
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,4
"CD8-positive, alpha-beta T cell",0.5,1.0,0.3333333333333333,3.0,4
"ILC1, human",0.0,0.0,0.0,7.0,4
IgA plasma cell,0.6666666666666666,1.0,0.5,2.0,4
IgG plasma cell,0.0,0.0,0.0,0.0,4
IgM plasma cell,0.0,0.0,0.0,2.0,4
T follicular helper cell,0.19047619047619047,0.2857142857142857,0.14285714285714285,28.0,4
T-helper 1 cell,0.0,0.0,0.0,1.0,4
T-helper 2 cell,0.0,0.0,0.0,1.0,4
T-helper 22 cell,0.5473684210526316,0.5875706214689266,0.5123152709359606,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.4935622317596567,0.3938356164383562,0.6609195402298851,174.0,4
class switched memory B cell,0.7000000000000001,0.7777777777777778,0.6363636363636364,11.0,4
dendritic cell,0.6666666666666666,0.5,1.0,1.0,4
"dendritic cell, human",0.5294117647058824,0.6923076923076923,0.42857142857142855,21.0,4
"effector CD8-positive, alpha-beta T cell",0.8500000000000001,0.8292682926829268,0.8717948717948718,117.0,4
"effector memory CD4-positive, alpha-beta T cell",0.0,0.0,0.0,4.0,4
"effector memory CD8-positive, alpha-beta T cell",0.7555555555555555,0.723404255319149,0.7906976744186046,129.0,4
erythrocyte,0.9090909090909091,1.0,0.8333333333333334,6.0,4
"erythroid progenitor cell, mammalian",0.6666666666666666,1.0,0.5,4.0,4
gamma-delta T cell,0.4031007751937985,0.4727272727272727,0.35135135135135137,74.0,4
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.0,4
immature B cell,0.6153846153846153,1.0,0.4444444444444444,9.0,4
mature NK T cell,0.8590604026845637,0.9552238805970149,0.7804878048780488,82.0,4
mucosal invariant T cell,0.5252525252525252,0.6666666666666666,0.43333333333333335,60.0,4
myeloid dendritic cell,0.6666666666666667,0.5909090909090909,0.7647058823529411,17.0,4
naive B cell,0.8923076923076922,0.8285714285714286,0.9666666666666667,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.816466552315609,0.8409893992932862,0.7933333333333333,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7238095238095237,0.7702702702702703,0.6826347305389222,167.0,4
natural killer cell,0.8571428571428571,0.75,1.0,3.0,4
plasmablast,0.0,0.0,0.0,0.0,4
plasmacytoid dendritic cell,0.9333333333333333,1.0,0.875,8.0,4
platelet,0.8205128205128205,0.8421052631578947,0.8,20.0,4
regulatory T cell,0.0,0.0,0.0,0.0,4
unswitched memory B cell,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,4
