cell_type,f1,precision,recall,support,representation,train_site,test_site
CD14-positive monocyte,0.9798270893371758,0.9970674486803519,0.9631728045325779,353.0,X_pca,Ncl,Cambridge
"CD16-negative, CD56-bright natural killer cell, human",0.8571428571428571,0.8666666666666667,0.8478260869565217,92.0,X_pca,Ncl,Cambridge
"CD16-positive, CD56-dim natural killer cell, human",0.9727520435967302,0.970108695652174,0.9754098360655737,732.0,X_pca,Ncl,Cambridge
T-helper 22 cell,0.5074415308291991,0.35728542914171657,0.8753056234718827,409.0,X_pca,Ncl,Cambridge
"central memory CD4-positive, alpha-beta T cell",0.1827956989247312,0.8292682926829268,0.1027190332326284,993.0,X_pca,Ncl,Cambridge
"effector CD8-positive, alpha-beta T cell",0.7346938775510206,0.8228571428571428,0.663594470046083,217.0,X_pca,Ncl,Cambridge
"effector memory CD8-positive, alpha-beta T cell",0.6175771971496438,0.7027027027027027,0.5508474576271186,236.0,X_pca,Ncl,Cambridge
gamma-delta T cell,0.28901734104046245,0.25125628140703515,0.3401360544217687,147.0,X_pca,Ncl,Cambridge
mature NK T cell,0.7499999999999999,0.7941176470588235,0.7105263157894737,76.0,X_pca,Ncl,Cambridge
mucosal invariant T cell,0.5831325301204819,0.4689922480620155,0.7707006369426752,157.0,X_pca,Ncl,Cambridge
naive B cell,1.0,1.0,1.0,346.0,X_pca,Ncl,Cambridge
"naive thymus-derived CD4-positive, alpha-beta T cell",0.758576874205845,0.6582138919514884,0.8950524737631185,667.0,X_pca,Ncl,Cambridge
"naive thymus-derived CD8-positive, alpha-beta T cell",0.5481852315394241,0.5516372795969773,0.5447761194029851,402.0,X_pca,Ncl,Cambridge
